date,rank,team,rating,perc_ratings,wins,losses,w_pct,sos,sos_rank,division,gender,season,is_final,key
2020-09-04,1,Revolver,3.67,91.8,31,2,0.94,0.83,17,Club,Men,2015,1,1
2020-09-04,2,Bunka Shutter Buzz Bullets,3.09,86.2,7,0,1.0,1.14,7,Club,Men,2015,1,2
2020-09-04,3,Sockeye,2.91,83.9,23,4,0.85,0.86,16,Club,Men,2015,1,3
2020-09-04,4,HIGH FIVE,2.29,73.7,29,9,0.76,0.76,19,Club,Men,2015,1,4
2020-09-04,5,Tejas,2.14,70.9,7,0,1.0,-0.45,46,Club,Men,2015,1,5
2020-09-04,6,Doublewide,2.06,69.0,22,10,0.69,1.23,4,Club,Men,2015,1,6
2020-09-04,7,Chicago Machine,2.06,69.0,20,10,0.67,1.25,3,Club,Men,2015,1,7
2020-09-04,8,Patrol,1.88,65.0,30,9,0.77,0.33,25,Club,Men,2015,1,8
2020-09-04,9,Florida United,1.86,64.7,21,8,0.72,0.53,23,Club,Men,2015,1,9
2020-09-04,10,Condors,1.81,63.6,22,3,0.88,-0.31,39,Club,Men,2015,1,10
2020-09-04,11,Madison Club,1.79,63.1,27,11,0.71,0.67,21,Club,Men,2015,1,11
2020-09-04,12,Johnny Bravo,1.79,63.0,21,10,0.68,0.99,13,Club,Men,2015,1,12
2020-09-04,13,Ironside,1.56,57.6,17,12,0.59,1.22,6,Club,Men,2015,1,13
2020-09-04,14,H.I.P,1.54,57.1,35,5,0.88,-1.05,80,Club,Men,2015,1,14
2020-09-04,15,Rhino,1.38,53.1,14,11,0.56,1.14,8,Club,Men,2015,1,15
2020-09-04,16,Truck Stop,1.35,52.3,16,14,0.53,1.28,2,Club,Men,2015,1,16
2020-09-04,17,Sub Zero,1.25,49.8,20,14,0.59,0.94,14,Club,Men,2015,1,17
2020-09-04,18,Prairie Fire,1.14,47.1,18,16,0.53,1.09,9,Club,Men,2015,1,18
2020-09-04,19,Streetgang,1.07,45.4,19,9,0.68,0.09,28,Club,Men,2015,1,19
2020-09-04,20,Ring of Fire,1.05,44.9,12,12,0.5,1.22,5,Club,Men,2015,1,20
2020-09-04,21,Inception,1.01,43.9,20,8,0.71,-0.16,32,Club,Men,2015,1,21
2020-09-04,22,Brickyard,0.98,43.2,21,4,0.84,-0.96,73,Club,Men,2015,1,22
2020-09-04,23,Freaks Uv Nature,0.91,41.4,27,9,0.75,-0.4,42,Club,Men,2015,1,23
2020-09-04,24,Johnny Encore,0.9,41.3,6,0,1.0,-1.69,146,Club,Men,2015,1,24
2020-09-04,25,Southern Hospitality,0.9,41.3,29,12,0.71,-0.2,33,Club,Men,2015,1,25
