team,gender,division,city,state,region,section,id
Phoenix,Men,Club,Ottawa,Ontario,Northeast,Upstate NY,0
El Niño,Men,Club,Oakland Park,FL,Southeast,Florida,1
DNA,Men,Club,Surrey,BC,Northwest,Washington BC,2
SOUF,Men,Club,Seattle,WA,Northwest,Washington BC,3
Rumspringa,Men,Club,Virginville,PA,Mid-Atlantic,Founders,4
Low Point,Men,Club,Salt Lake City,UT,Northwest,Big Sky,5
Journeymen,Men,Club,Sunnyvale,CA,Southwest,NorCal,6
The Berkeley Bobcats,Men,Club,Berkeley,CA,Southwest,NorCal,7
Green Means Bro,Men,Club,Philadelphia,PA,Mid-Atlantic,Founders,8
Little Teapots,Men,Club,Santa Cruz,CA,Southwest,NorCal,9
Flash Flood,Men,Club,Dallas,TX,South Central,Texas,10
Big Muscle Boys,Men,Club,Storrs,CT,Northeast,Metro NY,11
Boulder United Flatiron Hammers,Men,Club,Boulder,CO,South Central,Rocky Mountain,12
Old Ephraim,Men,Club,Logan,UT,Northwest,Big Sky,13
DINGWOP,Men,Club,Duluth,MN,North Central,Northwest Plains,14
Rock Steady,Men,Club,Austin,TX,South Central,Texas,15
Waste Management Squad,Men,Club,Seattle,WA,Northwest,Washington BC,16
White Sauce Hot Sauce,Men,Club,KEW GARDENS,NY,Northeast,Metro NY,17
Medicine Men,Men,Club,Baltimore,MD,Mid-Atlantic,Capital,18
Not A Sport,Men,Club,Somerset,NJ,Mid-Atlantic,Founders,19
Kingdome,Men,Club,Seattle,WA,Northwest,Washington BC,20
UpRoar Claws,Men,Club,Tampa,FL,Southeast,Florida,21
Goaltimate All Stars,Men,Club,San Diego,CA,Southwest,So Cal,22
Miner Magic,Men,Club,Rolla,MO,North Central,West Plains,23
Arithmetic Ultimate,Men,Club,Mountain View,CA,Southwest,NorCal,24
Black Knights,Men,Club,West Point,NY,Northeast,Metro NY,25
Festive Salmon,Men,Club,New York,NY,Northeast,Metro NY,26
Fargoats,Men,Club,Fargo,ND,North Central,Northwest Plains,27
