date,rank,team,rating,perc_ratings,wins,losses,w_pct,sos,sos_rank
2020-09-04,1,Revolver,3.59,88.4,22,3,0.88,1.3,6
2020-09-04,2,PoNY,2.95,80.1,23,7,0.77,1.51,3
2020-09-04,3,Sockeye,2.8,77.5,20,4,0.83,1.16,11
2020-09-04,4,Ring of Fire,2.75,76.7,18,5,0.78,1.14,12
2020-09-04,5,Bunka Shutter Buzz Bullets,2.36,69.1,5,2,0.71,1.69,1
2020-09-04,6,Truck Stop,2.18,65.1,19,12,0.61,1.56,2
2020-09-04,7,Sub Zero,2.1,63.3,20,12,0.62,1.4,5
2020-09-04,8,Rhino Slam,2.05,62.1,36,9,0.8,0.05,22
2020-09-04,9,Furious George,1.95,59.8,30,8,0.79,0.0,23
2020-09-04,10,HIGH FIVE,1.83,56.8,18,13,0.58,1.5,4
2020-09-04,11,Pittsburgh Temper,1.78,55.6,25,10,0.71,0.42,18
2020-09-04,12,Chicago Machine,1.77,55.3,22,14,0.61,1.19,10
2020-09-04,13,DiG,1.71,53.8,21,12,0.64,0.96,15
2020-09-04,14,Johnny Bravo,1.7,53.6,18,14,0.56,1.28,7
2020-09-04,15,Chain Lightning,1.65,52.2,22,8,0.73,0.1,21
2020-09-04,16,Madison Club,1.63,51.8,15,10,0.6,1.26,8
2020-09-04,17,SoCal Condors,1.55,49.9,16,6,0.73,0.15,20
2020-09-04,18,Doublewide,1.53,49.4,15,11,0.58,0.99,14
2020-09-04,19,GOAT,1.41,46.2,18,5,0.78,-0.31,26
2020-09-04,20,Freaks,0.95,35.2,28,6,0.82,-0.77,35
2020-09-04,21,Brickyard,0.87,33.5,24,7,0.77,-0.66,31
2020-09-04,22,Inception,0.84,32.9,24,6,0.8,-1.15,64
2020-09-04,23,Prairie Fire,0.76,31.0,22,9,0.71,-0.57,28
2020-09-04,24,Guerrilla,0.76,31.0,17,12,0.59,0.16,19
2020-09-04,25,Patrol,0.61,27.9,10,15,0.4,1.21,9
2020-09-04,26,Big Wrench,0.57,27.2,22,6,0.79,-1.03,56
2020-09-04,27,Clutch,0.48,25.3,29,4,0.88,-1.95,140
2020-09-04,28,General Strike,0.41,24.1,16,4,0.8,-1.1,60
2020-09-04,29,Voodoo,0.24,21.1,19,14,0.58,-0.15,24
2020-09-04,30,Nitro,0.21,20.7,19,6,0.76,-1.33,74
2020-09-04,31,Black Market,0.16,19.8,32,13,0.71,-1.0,53
2020-09-04,32,Richmond Floodwall,0.05,18.1,19,6,0.76,-1.41,78
2020-09-04,33,Phoenix,0.04,17.9,13,6,0.68,-0.89,40
2020-09-04,34,Brickhouse,0.0,17.4,15,9,0.62,-0.59,30
2020-09-04,35,Lost Boys,-0.01,17.3,24,11,0.69,-0.9,42
2020-09-04,36,Medicine Men,-0.04,16.9,14,12,0.54,-0.21,25
2020-09-04,37,Garden State Ultimate,-0.12,15.7,15,7,0.68,-0.95,44
2020-09-04,38,Turbine,-0.14,15.4,13,7,0.65,-1.07,58
2020-09-04,39,CLE Smokestack,-0.17,15.1,17,8,0.68,-1.03,57
2020-09-04,40,Colt,-0.25,14.0,17,10,0.63,-0.75,34
2020-09-04,41,Mockingbird,-0.29,13.6,13,8,0.62,-0.96,47
2020-09-04,42,El Niño,-0.29,13.6,21,5,0.81,-2.16,165
2020-09-04,43,CaSTLe,-0.33,13.2,22,11,0.67,-1.14,63
2020-09-04,44,Coastal Empire,-0.33,13.1,14,6,0.7,-1.35,75
