date,rank,team,rating,perc_ratings,wins,losses,w_pct,sos,sos_rank
2020-09-04,1,Drag'n Thrust,3.12,88.7,23,5,0.82,1.4,4
2020-09-04,2,The Chad Larson Experience,3.01,87.6,28,6,0.82,1.21,7
2020-09-04,3,Bucket,2.7,83.8,27,2,0.93,-0.24,30
2020-09-04,4,Mischief,2.65,83.2,20,6,0.77,1.36,6
2020-09-04,5,Blackbird,2.53,81.4,20,5,0.8,0.8,10
2020-09-04,6,Polar Bears,2.36,78.6,20,9,0.69,1.4,5
2020-09-04,7,Slow White,2.03,72.6,15,9,0.62,1.54,3
2020-09-04,8,Wild Card,1.84,68.7,14,11,0.56,1.58,2
2020-09-04,9,Seattle Mixed,1.71,65.9,17,4,0.81,0.01,24
2020-09-04,10,AMP,1.67,64.9,20,13,0.61,1.19,8
2020-09-04,11,7 Figures,1.6,63.5,19,9,0.68,0.58,11
2020-09-04,12,Cahoots,1.29,55.9,21,6,0.78,-0.23,29
2020-09-04,13,Ant Madness,1.25,54.9,18,2,0.9,-0.91,73
2020-09-04,14,Groove,1.19,53.4,15,7,0.68,0.35,17
2020-09-04,15,NOISE,1.17,53.0,20,8,0.71,0.1,22
2020-09-04,16,D'oh! Abides,1.07,50.3,16,9,0.64,0.42,15
2020-09-04,17,Santa Maria,1.05,50.0,22,11,0.67,0.11,20
2020-09-04,18,Interrobang!,1.03,49.5,21,3,0.88,-1.28,111
2020-09-04,19,UNION,0.96,47.6,10,6,0.62,0.51,14
2020-09-04,20,Cosa Nostra,0.87,45.4,12,13,0.48,1.08,9
2020-09-04,21,Bird,0.84,44.7,13,6,0.68,0.1,21
2020-09-04,22,American Barbecue,0.77,43.0,16,12,0.57,0.51,13
2020-09-04,23,Ambiguous Grey,0.74,42.2,11,8,0.58,0.52,12
2020-09-04,24,Thoroughbred,0.6,38.8,15,4,0.79,-0.93,77
2020-09-04,25,Hooray for Coed Hooray!,0.52,36.9,11,2,0.85,-1.01,90
2020-09-04,26,Mesteño,0.46,35.6,14,4,0.78,-0.94,83
2020-09-04,27,Steamboat,0.43,34.8,11,9,0.55,0.37,16
2020-09-04,28,Love Tractor,0.4,34.3,18,7,0.72,-0.75,58
2020-09-04,29,SHUYAMOUF,0.38,33.8,12,7,0.63,-0.24,31
2020-09-04,30,"Hooray for Coed, Hooray!",0.31,32.3,5,1,0.83,-0.87,69
2020-09-04,31,Raleighwood,0.28,31.6,13,6,0.68,-0.49,41
2020-09-04,32,7 Express,0.27,31.3,17,11,0.61,-0.13,27
2020-09-04,33,Pluff Mud Panic,0.25,30.9,11,4,0.73,-0.71,55
2020-09-04,34,Lions,0.23,30.6,14,12,0.54,0.12,19
2020-09-04,35,Jughandle,0.2,29.8,16,6,0.73,-0.85,66
2020-09-04,36,Des Moines Metro,0.16,29.0,13,8,0.62,-0.28,34
2020-09-04,37,The Ghosts,0.15,28.8,9,8,0.53,0.2,18
2020-09-04,38,Tyrannis,0.13,28.4,9,3,0.75,-0.96,84
2020-09-04,39,BW Ultimate,0.11,28.0,8,7,0.53,0.08,23
2020-09-04,40,The Administrators,0.1,27.8,12,10,0.55,0.01,25
2020-09-04,41,Dorado,0.02,26.3,10,6,0.62,-0.43,37
2020-09-04,42,Identity Crisis,-0.01,25.7,10,3,0.77,-1.29,114
2020-09-04,43,Sweet Action,-0.06,24.7,11,5,0.69,-0.92,74
2020-09-04,44,Pleasuretown,-0.09,24.2,15,10,0.6,-0.46,39
2020-09-04,45,Spikes Peak,-0.1,24.0,12,6,0.67,-1.1,95
2020-09-04,46,No Touching,-0.13,23.4,13,8,0.62,-0.63,52
2020-09-04,47,The Bandits,-0.13,23.4,5,1,0.83,-1.31,117
2020-09-04,48,RUA,-0.2,22.3,8,6,0.57,-0.56,45
2020-09-04,49,Nooga by Nature,-0.38,19.3,6,4,0.6,-0.51,42
