date,rank,team,rating,perc_ratings,wins,losses,w_pct,sos,sos_rank
2020-09-04,1,Brute Squad,3.62,98.6,27,1,0.96,-0.13,4
2020-09-04,2,Fury,3.19,97.9,33,3,0.92,-0.45,11
2020-09-04,3,Seattle Riot,2.58,96.2,31,4,0.89,-0.5,12
2020-09-04,4,Molly Brown,2.41,95.5,25,5,0.83,-0.01,2
2020-09-04,5,Scandal,1.74,91.6,26,7,0.79,-0.14,5
2020-09-04,6,6ixers,1.01,83.8,19,7,0.73,-0.23,8
2020-09-04,7,Ozone,0.4,73.9,22,10,0.69,-0.76,16
2020-09-04,8,Nightlock,0.39,73.8,25,14,0.64,-0.2,6
2020-09-04,9,Phoenix,0.23,70.5,21,9,0.7,-0.81,18
2020-09-04,10,Traffic,-0.04,64.6,20,14,0.59,-0.54,13
2020-09-04,11,Nemesis,-0.14,62.2,17,13,0.57,-0.3,9
2020-09-04,12,Rival,-0.26,59.5,17,15,0.53,-0.33,10
2020-09-04,13,Schwa,-0.31,58.3,19,18,0.51,-0.07,3
2020-09-04,14,Stella,-0.37,56.8,12,3,0.8,-2.24,39
2020-09-04,15,Showdown,-0.4,55.9,19,10,0.66,-1.28,24
2020-09-04,16,Heist,-0.43,55.2,22,15,0.59,-1.04,20
2020-09-04,17,Wildfire,-0.68,49.0,15,13,0.54,-0.79,17
2020-09-04,18,Grit,-0.86,44.5,18,10,0.64,-1.53,25
2020-09-04,19,Pop,-0.91,43.4,14,18,0.44,-0.57,14
2020-09-04,20,Wicked,-0.93,42.9,20,6,0.77,-2.52,48
2020-09-04,21,Virginia Rebellion,-0.98,41.5,23,6,0.79,-2.69,53
2020-09-04,22,Siege,-1.06,39.6,19,14,0.58,-1.22,22
2020-09-04,23,BENT,-1.08,39.3,18,15,0.55,-1.28,23
2020-09-04,24,Ripe,-1.12,38.1,4,2,0.67,-1.71,26
2020-09-04,25,Iris,-1.13,37.9,5,3,0.62,-1.11,21
2020-09-04,26,Tabby Rosa,-1.22,35.9,20,8,0.71,-2.43,44
2020-09-04,27,PPF,-1.29,34.3,5,2,0.71,-1.96,30
2020-09-04,28,Underground,-1.34,33.2,13,17,0.43,-0.7,15
2020-09-04,29,Colorado Small Batch,-1.51,29.6,16,9,0.64,-2.06,33
2020-09-04,30,Dish,-1.56,28.4,24,6,0.8,-3.47,85
2020-09-04,31,Fusion,-1.76,24.6,3,5,0.38,-0.22,7
2020-09-04,32,Elevate,-1.79,24.1,19,14,0.58,-2.05,32
2020-09-04,33,V-SQUAD,-1.8,23.8,6,4,0.6,-1.78,27
2020-09-04,34,Vintage,-1.83,23.3,4,2,0.67,-2.19,37
2020-09-04,35,LOL,-1.85,23.0,13,19,0.41,-0.92,19
2020-09-04,36,Sneaky House Hippos,-1.99,20.6,15,15,0.5,-1.8,28
2020-09-04,37,Steel,-2.05,19.6,18,6,0.75,-3.43,80
2020-09-04,38,Indy Rogue,-2.06,19.5,17,11,0.61,-2.71,55
2020-09-04,39,Hot Metal,-2.11,18.7,19,14,0.58,-2.38,43
2020-09-04,40,Savage,-2.28,16.3,6,6,0.5,-2.14,35
2020-09-04,41,Frolic,-2.35,15.3,16,9,0.64,-3.03,67
2020-09-04,42,Fiasco,-2.43,14.4,10,10,0.5,-2.44,45
2020-09-04,43,Seattle Soul,-2.47,13.9,13,13,0.5,-2.33,41
2020-09-04,44,Blackwidows,-2.48,13.7,1,6,0.14,0.37,1
2020-09-04,45,Pine Baroness,-2.5,13.5,23,10,0.7,-3.54,87
2020-09-04,46,Jackwagon,-2.6,12.4,15,11,0.58,-2.86,59
2020-09-04,47,Rampage,-2.63,12.0,11,10,0.52,-2.73,56
2020-09-04,48,Salty,-2.67,11.6,3,4,0.43,-2.21,38
2020-09-04,49,TOX6ix,-2.67,11.6,4,2,0.67,-3.55,89
2020-09-04,50,Sparks,-2.67,11.6,7,3,0.7,-3.84,101
2020-09-04,51,FAB,-2.78,10.5,14,18,0.44,-2.11,34
2020-09-04,52,Vice,-2.84,9.9,17,11,0.61,-3.35,77
2020-09-04,53,Outbreak,-2.91,9.4,17,12,0.59,-3.44,81
2020-09-04,54,Crackle,-2.91,9.4,14,11,0.56,-3.24,72
2020-09-04,55,Green Means Go,-2.98,8.8,15,21,0.42,-2.34,42
2020-09-04,56,Venus,-3.23,7.0,2,5,0.29,-2.3,40
2020-09-04,57,Korra,-3.25,6.9,4,2,0.67,-4.22,108
2020-09-04,58,Tempest,-3.26,6.8,4,2,0.67,-4.24,109
2020-09-04,59,Sureshot,-3.28,6.7,16,13,0.55,-3.6,92
