date,rank,team,rating,perc_ratings,wins,losses,w_pct,sos,sos_rank
2020-09-03,1,Oregon,3.82,93.8,42,6,0.88,1.07,8
2020-09-03,2,Stanford,3.56,92.1,40,6,0.87,1.02,9
2020-09-03,3,Whitman,3.4,90.9,33,8,0.8,0.6,16
2020-09-03,4,British Columbia,3.24,89.4,25,8,0.76,1.66,2
2020-09-03,5,Central Florida,2.53,80.7,38,10,0.79,0.67,15
2020-09-03,6,UCLA,2.52,80.5,31,12,0.72,1.22,5
2020-09-03,7,Michigan,2.5,80.3,35,8,0.81,0.58,18
2020-09-03,8,Texas,2.45,79.4,25,11,0.69,1.15,6
2020-09-03,9,Pittsburgh,2.08,72.7,26,10,0.72,0.84,12
2020-09-03,10,Washington,1.91,69.1,21,19,0.52,1.8,1
2020-09-03,11,Colorado,1.89,68.8,23,14,0.62,1.27,4
2020-09-03,12,Virginia,1.61,62.4,28,13,0.68,0.59,17
2020-09-03,13,California,1.5,59.8,29,15,0.66,0.38,21
2020-09-03,14,Ohio State,1.38,56.9,23,19,0.55,1.12,7
2020-09-03,15,Dartmouth,1.34,55.9,20,10,0.67,0.42,20
2020-09-03,16,Colorado College,1.32,55.5,24,15,0.62,0.77,14
2020-09-03,17,Vermont,1.31,55.3,23,4,0.85,-0.91,54
2020-09-03,18,Minnesota,1.2,52.5,18,6,0.75,0.01,25
2020-09-03,19,Notre Dame,1.2,52.4,24,7,0.77,-0.35,34
2020-09-03,20,California-San Diego,1.13,50.8,31,8,0.79,-0.75,45
2020-09-03,21,Wisconsin,1.1,49.9,28,11,0.72,-0.05,29
2020-09-03,22,North Carolina,1.05,48.7,28,12,0.7,-0.14,30
2020-09-03,23,Western Washington,1.03,48.3,16,18,0.47,1.31,3
2020-09-03,24,Northeastern,0.98,46.9,18,11,0.62,0.44,19
2020-09-03,25,California-Davis,0.92,45.5,28,18,0.61,0.17,24
2020-09-03,26,Maryland,0.85,43.9,26,11,0.7,-0.3,33
2020-09-03,27,Tufts,0.8,42.5,17,10,0.63,0.21,23
2020-09-03,28,North Carolina-Wilmington,0.8,42.5,23,10,0.7,-0.24,32
2020-09-03,29,Florida State,0.77,41.8,26,15,0.63,-0.05,27
2020-09-03,30,Penn State,0.76,41.7,19,12,0.61,0.31,22
2020-09-03,31,Delaware,0.65,38.9,25,6,0.81,-1.37,71
2020-09-03,32,Southern California,0.55,36.7,16,20,0.44,0.94,10
2020-09-03,33,Georgia Tech,0.36,32.3,28,12,0.7,-0.77,48
2020-09-03,34,Kansas,0.29,30.8,24,12,0.67,-0.55,39
2020-09-03,35,Iowa State,0.23,29.6,22,11,0.67,-0.62,40
2020-09-03,36,Ottawa,-0.03,24.5,17,7,0.71,-1.1,57
2020-09-03,37,Liberty,-0.06,24.0,19,7,0.73,-1.19,63
