event,division,game_id,team_1,team_1_score,team_2,team_2_score,game_date,gender,postseason,season,winner,loser,win_score,lose_score
Winta Binta Vinta Fest 2020,College,243464,Virginia,13,Liberty,1,1/1/20,Women,0,2020,Virginia,Liberty,13,1
Winta Binta Vinta Fest 2020,College,243465,William & Mary,12,West Virginia,2,1/1/20,Women,0,2020,William & Mary,West Virginia,12,2
Winta Binta Vinta Fest 2020,College,243466,Virginia,11,West Virginia,3,1/1/20,Women,0,2020,Virginia,West Virginia,11,3
Winta Binta Vinta Fest 2020,College,243467,William & Mary,12,Liberty,7,1/1/20,Women,0,2020,William & Mary,Liberty,12,7
Winta Binta Vinta Fest 2020,College,243468,Virginia,11,William & Mary,4,1/1/20,Women,0,2020,Virginia,William & Mary,11,4
Winta Binta Vinta Fest 2020,College,243469,Liberty,11,West Virginia,6,1/1/20,Women,0,2020,Liberty,West Virginia,11,6
Winta Binta Vinta Fest 2020,College,243470,James Madison,13,Virginia Commonwealth,4,1/1/20,Women,0,2020,James Madison,Virginia Commonwealth,13,4
Winta Binta Vinta Fest 2020,College,243471,Georgetown,13,Virginia B,1,1/1/20,Women,0,2020,Georgetown,Virginia B,13,1
Winta Binta Vinta Fest 2020,College,243472,James Madison,13,Virginia B,0,1/1/20,Women,0,2020,James Madison,Virginia B,13,0
Winta Binta Vinta Fest 2020,College,243473,Georgetown,13,Virginia Commonwealth,5,1/1/20,Women,0,2020,Georgetown,Virginia Commonwealth,13,5
Winta Binta Vinta Fest 2020,College,243474,James Madison,11,Georgetown,7,1/1/20,Women,0,2020,James Madison,Georgetown,11,7
Winta Binta Vinta Fest 2020,College,243475,Virginia Commonwealth,8,Virginia B,2,1/1/20,Women,0,2020,Virginia Commonwealth,Virginia B,8,2
Winta Binta Vinta Fest 2020,College,243476,Virginia,15,Virginia B,1,1/1/20,Women,0,2020,Virginia,Virginia B,15,1
Winta Binta Vinta Fest 2020,College,243477,Georgetown,6,Liberty,10,1/1/20,Women,0,2020,Liberty,Georgetown,10,6
Winta Binta Vinta Fest 2020,College,243478,James Madison,15,West Virginia,1,1/1/20,Women,0,2020,James Madison,West Virginia,15,1
Winta Binta Vinta Fest 2020,College,243479,William & Mary,15,Virginia Commonwealth,0,1/1/20,Women,0,2020,William & Mary,Virginia Commonwealth,15,0
Winta Binta Vinta Fest 2020,College,243480,Virginia,14,Liberty,2,1/1/20,Women,0,2020,Virginia,Liberty,14,2
Winta Binta Vinta Fest 2020,College,243481,James Madison,10,William & Mary,9,1/1/20,Women,0,2020,James Madison,William & Mary,10,9
Winta Binta Vinta Fest 2020,College,243482,Virginia,13,James Madison,4,1/1/20,Women,0,2020,Virginia,James Madison,13,4
Winta Binta Vinta Fest 2020,College,243483,Liberty,7,William & Mary,9,1/1/20,Women,0,2020,William & Mary,Liberty,9,7
Winta Binta Vinta Fest 2020,College,243484,Virginia B,0,Georgetown,15,1/1/20,Women,0,2020,Georgetown,Virginia B,15,0
Winta Binta Vinta Fest 2020,College,243485,West Virginia,9,Virginia Commonwealth,10,1/1/20,Women,0,2020,Virginia Commonwealth,West Virginia,10,9
Winta Binta Vinta Fest 2020,College,243486,Georgetown,12,Virginia Commonwealth,2,1/1/20,Women,0,2020,Georgetown,Virginia Commonwealth,12,2
Winta Binta Vinta Fest 2020,College,243487,Virginia B,2,West Virginia,10,1/1/20,Women,0,2020,West Virginia,Virginia B,10,2
Florida Winter Classic 2020,College,243581,Dartmouth,10,Florida State,8,1/1/20,Women,0,2020,Dartmouth,Florida State,10,8
Florida Winter Classic 2020,College,243582,Georgia,13,South Florida,4,1/1/20,Women,0,2020,Georgia,South Florida,13,4
Florida Winter Classic 2020,College,243583,Dartmouth,9,South Florida,5,1/1/20,Women,0,2020,Dartmouth,South Florida,9,5
Florida Winter Classic 2020,College,243584,Georgia,10,Florida State,9,1/1/20,Women,0,2020,Georgia,Florida State,10,9
Florida Winter Classic 2020,College,243585,Dartmouth,9,Georgia,4,1/1/20,Women,0,2020,Dartmouth,Georgia,9,4
Florida Winter Classic 2020,College,243586,Florida State,8,South Florida,4,1/1/20,Women,0,2020,Florida State,South Florida,8,4
Florida Winter Classic 2020,College,243587,Ohio State,10,North Carolina-Wilmington,7,1/1/20,Women,0,2020,Ohio State,North Carolina-Wilmington,10,7
Florida Winter Classic 2020,College,243588,Florida,13,North Georgia,3,1/1/20,Women,0,2020,Florida,North Georgia,13,3
Florida Winter Classic 2020,College,243589,Ohio State,11,North Georgia,3,1/1/20,Women,0,2020,Ohio State,North Georgia,11,3
Florida Winter Classic 2020,College,243590,Florida,12,North Carolina-Wilmington,4,1/1/20,Women,0,2020,Florida,North Carolina-Wilmington,12,4
Florida Winter Classic 2020,College,243591,Ohio State,10,Florida,7,1/1/20,Women,0,2020,Ohio State,Florida,10,7
Florida Winter Classic 2020,College,243592,North Carolina-Wilmington,5,North Georgia,11,1/1/20,Women,0,2020,North Georgia,North Carolina-Wilmington,11,5
Florida Winter Classic 2020,College,243593,Florida B,11,Miami,3,1/1/20,Women,0,2020,Florida B,Miami,11,3
Florida Winter Classic 2020,College,243594,FSU B,8,Ave Maria,6,1/1/20,Women,0,2020,FSU B,Ave Maria,8,6
Florida Winter Classic 2020,College,243595,Florida B,11,Ave Maria,2,1/1/20,Women,0,2020,Florida B,Ave Maria,11,2
Florida Winter Classic 2020,College,243596,FSU B,4,Miami,6,1/1/20,Women,0,2020,Miami,FSU B,6,4
Florida Winter Classic 2020,College,243597,Florida B,11,FSU B,2,1/1/20,Women,0,2020,Florida B,FSU B,11,2
Florida Winter Classic 2020,College,243598,Miami,3,Ave Maria,10,1/1/20,Women,0,2020,Ave Maria,Miami,10,3
Florida Winter Classic 2020,College,243599,Dartmouth,11,Florida,10,1/1/20,Women,0,2020,Dartmouth,Florida,11,10
Florida Winter Classic 2020,College,243600,Georgia,7,Ohio State,11,1/1/20,Women,0,2020,Ohio State,Georgia,11,7
Florida Winter Classic 2020,College,243601,Florida State,11,North Carolina-Wilmington,3,1/1/20,Women,0,2020,Florida State,North Carolina-Wilmington,11,3
Florida Winter Classic 2020,College,243602,South Florida,6,North Georgia,4,1/1/20,Women,0,2020,South Florida,North Georgia,6,4
Florida Winter Classic 2020,College,243603,North Carolina-Wilmington,15,Miami,2,1/1/20,Women,0,2020,North Carolina-Wilmington,Miami,15,2
Florida Winter Classic 2020,College,243604,North Georgia,15,Florida B,4,1/1/20,Women,0,2020,North Georgia,Florida B,15,4
Florida Winter Classic 2020,College,243605,Dartmouth,13,North Carolina-Wilmington,6,1/1/20,Women,0,2020,Dartmouth,North Carolina-Wilmington,13,6
Florida Winter Classic 2020,College,243606,South Florida,7,Georgia,15,1/1/20,Women,0,2020,Georgia,South Florida,15,7
Florida Winter Classic 2020,College,243607,Florida,15,Florida State,8,1/1/20,Women,0,2020,Florida,Florida State,15,8
Florida Winter Classic 2020,College,243608,North Georgia,1,Ohio State,15,1/1/20,Women,0,2020,Ohio State,North Georgia,15,1
Florida Winter Classic 2020,College,243609,Dartmouth,13,Georgia,10,1/1/20,Women,0,2020,Dartmouth,Georgia,13,10
Florida Winter Classic 2020,College,243610,Florida,3,Ohio State,15,1/1/20,Women,0,2020,Ohio State,Florida,15,3
Florida Winter Classic 2020,College,243611,Dartmouth,8,Ohio State,9,1/1/20,Women,0,2020,Ohio State,Dartmouth,9,8
Florida Winter Classic 2020,College,243612,Georgia,7,Florida,11,1/1/20,Women,0,2020,Florida,Georgia,11,7
Florida Winter Classic 2020,College,243613,North Carolina-Wilmington,10,South Florida,11,1/1/20,Women,0,2020,South Florida,North Carolina-Wilmington,11,10
