event,division,game_id,team_1,team_1_score,team_2,team_2_score,game_date,gender,postseason,season
USA Ultimate National Championships,Club,241736,Sockeye,15,SoCal Condors,10,2019-10-24,Men,1,2019
USA Ultimate National Championships,Club,241737,DiG,15,Furious George,8,2019-10-24,Men,1,2019
USA Ultimate National Championships,Club,241738,Sockeye,15,Furious George,8,2019-10-24,Men,1,2019
USA Ultimate National Championships,Club,241739,DiG,12,SoCal Condors,11,2019-10-24,Men,1,2019
USA Ultimate National Championships,Club,241740,Sockeye,13,DiG,12,2019-10-24,Men,1,2019
USA Ultimate National Championships,Club,241741,SoCal Condors,14,Furious George,11,2019-10-24,Men,1,2019
USA Ultimate National Championships,Club,241742,PoNY,15,Pittsburgh Temper,8,2019-10-24,Men,1,2019
USA Ultimate National Championships,Club,241743,Sub Zero,15,Johnny Bravo,12,2019-10-24,Men,1,2019
USA Ultimate National Championships,Club,241744,PoNY,14,Johnny Bravo,6,2019-10-24,Men,1,2019
USA Ultimate National Championships,Club,241745,Sub Zero,15,Pittsburgh Temper,13,2019-10-24,Men,1,2019
USA Ultimate National Championships,Club,241746,PoNY,14,Sub Zero,13,2019-10-24,Men,1,2019
USA Ultimate National Championships,Club,241747,Pittsburgh Temper,15,Johnny Bravo,13,2019-10-24,Men,1,2019
USA Ultimate National Championships,Club,241748,Truck Stop,15,GOAT,7,2019-10-24,Men,1,2019
USA Ultimate National Championships,Club,241749,Chicago Machine,12,Chain Lightning,15,2019-10-24,Men,1,2019
USA Ultimate National Championships,Club,241750,Truck Stop,15,Chain Lightning,7,2019-10-24,Men,1,2019
USA Ultimate National Championships,Club,241751,Chicago Machine,15,GOAT,6,2019-10-24,Men,1,2019
USA Ultimate National Championships,Club,241752,Truck Stop,14,Chicago Machine,15,2019-10-24,Men,1,2019
USA Ultimate National Championships,Club,241753,GOAT,15,Chain Lightning,11,2019-10-24,Men,1,2019
USA Ultimate National Championships,Club,241754,Ring of Fire,13,Doublewide,14,2019-10-24,Men,1,2019
