event,division,game_id,team_1,team_1_score,team_2,team_2_score,game_date,gender,postseason,season
New Year Fest 2020,College,244350,Colorado-Mesa,5,Grand Canyon,13,1/26/20,Men,0,2020
New Year Fest 2020,College,244349,Arizona B,1,Grand Canyon,13,1/26/20,Men,0,2020
New Year Fest 2020,College,244267,Utah State,13,Grand Canyon,4,1/25/20,Men,0,2020
New Year Fest 2020,College,244277,Denver,11,Grand Canyon,6,1/25/20,Men,0,2020
Mardi Gras XXXIII,College,247954,Texas State,13,Florida State,4,2/29/20,Men,0,2020
Mardi Gras XXXIII,College,247951,Iowa,9,Florida State,10,2/29/20,Men,0,2020
Mardi Gras XXXIII,College,247944,Illinois State,12,Jacksonville State,13,2/29/20,Men,0,2020
Mardi Gras XXXIII,College,247941,LSU,13,Jacksonville State,9,2/29/20,Men,0,2020
Mardi Gras XXXIII,College,247967,Texas A&M,12,Jacksonville State,3,3/1/20,Men,0,2020
Santa Barbara Invite 2020,College,244618,Dartmouth,13,Northwestern,9,1/26/20,Men,0,2020
Santa Barbara Invite 2020,College,243653,California,12,Northwestern,9,1/25/20,Men,0,2020
Santa Barbara Invite 2020,College,243656,Victoria,10,Northwestern,13,1/25/20,Men,0,2020
Oak Creek Challenge 2020,College,246864,Delaware,13,Rowan,8,2/22/20,Men,0,2020
Oak Creek Challenge 2020,College,246867,Pittsburgh B,11,Rowan,7,2/22/20,Men,0,2020
Oak Creek Challenge 2020,College,248618,Salisbury,15,Rowan,12,2/23/20,Men,0,2020
Carolina Kickoff 2020,College,244190,South Carolina,11,North Carolina-Wilmington,12,1/26/20,Men,0,2020
Smoky Mountain Invite 2020,College,245439,Minnesota,12,North Carolina-Wilmington,9,3/7/20,Men,0,2020
Smoky Mountain Invite 2020,College,246691,Ohio State,14,North Carolina-Wilmington,13,3/8/20,Men,0,2020
Smoky Mountain Invite 2020,College,245442,North Carolina,11,North Carolina-Wilmington,6,3/7/20,Men,0,2020
Smoky Mountain Invite 2020,College,245602,Wisconsin,13,North Carolina-Wilmington,15,3/7/20,Men,0,2020
New Year Fest 2020,College,244271,Grand Canyon,9,Brigham Young B,11,1/25/20,Men,0,2020
New Year Fest 2020,College,244273,Utah State,11,Brigham Young B,6,1/25/20,Men,0,2020
New Year Fest 2020,College,244280,Denver,11,Brigham Young B,9,1/25/20,Men,0,2020
Carolina Kickoff 2020,College,244050,North Carolina State,13,Richmond,7,1/25/20,Men,0,2020
Carolina Kickoff 2020,College,244191,Georgetown,12,Richmond,7,1/26/20,Men,0,2020
Santa Barbara Invite 2020,College,243644,Colorado State,13,Western Washington,12,1/25/20,Men,0,2020
Santa Barbara Invite 2020,College,243682,Case Western Reserve,8,Western Washington,11,1/26/20,Men,0,2020
Santa Barbara Invite 2020,College,243642,California-Santa Barbara,11,Western Washington,12,1/25/20,Men,0,2020
Santa Barbara Invite 2020,College,243683,Victoria,6,Western Washington,13,1/26/20,Men,0,2020
Santa Barbara Invite 2020,College,243647,Washington,13,Western Washington,3,1/25/20,Men,0,2020
Pacific Confrontational Open 2020,College,243941,Montana State University,12,Washington State,9,1/19/20,Men,0,2020
Santa Barbara Invite 2020,College,243669,Cal Poly-SLO,13,California,8,1/26/20,Men,0,2020
Santa Barbara Invite 2020,College,243659,California,13,Victoria,10,1/25/20,Men,0,2020
Santa Barbara Invite 2020,College,243681,Southern California,9,Victoria,13,1/26/20,Men,0,2020
Mardi Gras XXXIII,College,247931,Florida,13,Sul Ross State University,10,2/29/20,Men,0,2020
Mardi Gras XXXIII,College,247960,Jacksonville State,10,Sul Ross State University,8,3/1/20,Men,0,2020
Mardi Gras XXXIII,College,247934,Texas Tech,9,Sul Ross State University,6,2/29/20,Men,0,2020
Mid-Atlantic Warmup 2020,College,243805,James Madison,13,Syracuse,4,1/25/20,Men,0,2020
Mid-Atlantic Warmup 2020,College,243829,Vermont,15,Syracuse,6,1/26/20,Men,0,2020
TTown Throwdown 2020 (Open),College,243926,Alabama,9,South Florida,8,1/18/20,Men,0,2020
TTown Throwdown 2020 (Open),College,243794,Mississippi,7,South Florida,15,1/19/20,Men,0,2020
TTown Throwdown 2020 (Open),College,243790,Mississippi State,9,South Florida,8,1/18/20,Men,0,2020
TTown Throwdown 2020 (Open),College,243747,Alabama-Huntsville,11,South Florida,4,1/18/20,Men,0,2020
TTown Throwdown 2020 (Open),College,243748,Illinois,11,South Florida,2,1/18/20,Men,0,2020
New Year Fest 2020,College,244406,Northern Arizona,13,Colorado-Mesa,6,1/25/20,Men,0,2020
New Year Fest 2020,College,244407,New Mexico,13,Colorado-Mesa,6,1/25/20,Men,0,2020
TTown Throwdown 2020 (Open),College,243922,LSU,12,Central Florida,10,1/18/20,Men,0,2020
TTown Throwdown 2020 (Open),College,243927,Alabama-Huntsville,10,Jacksonville State,11,1/18/20,Men,0,2020
TTown Throwdown 2020 (Open),College,243773,Tennessee-Chattanooga,9,Jacksonville State,6,1/19/20,Men,0,2020
TTown Throwdown 2020 (Open),College,243771,Illinois State,14,Jacksonville State,9,1/19/20,Men,0,2020
TTown Throwdown 2020 (Open),College,243786,Georgia Tech,9,Jacksonville State,7,1/18/20,Men,0,2020
TTown Throwdown 2020 (Open),College,243787,Alabama,13,Jacksonville State,6,1/18/20,Men,0,2020
TTown Throwdown 2020 (Open),College,243765,Florida,13,Jacksonville State,4,1/18/20,Men,0,2020
Clutch Classic 2020,College,244093,Kennesaw State,13,Berry,10,1/25/20,Men,0,2020
Clutch Classic 2020,College,244431,Georgia Southern,9,Berry,8,1/26/20,Men,0,2020
