event,division,game_id,team_1,team_1_score,team_2,team_2_score,game_date
Cal States 2015,Club - Men,74126,Gridlock,7,Renegade,13,2015-06-06
Cal States 2015,Club - Men,74127,Oaks,6,Sons,13,2015-06-06
Cal States 2015,Club - Men,74128,Journeymen,7,Frisbee Football All Stars,13,2015-06-06
Cal States 2015,Club - Men,74129,Boost FC,13,Sons,7,2015-06-06
Cal States 2015,Club - Men,74130,Journeymen,6,Renegade,13,2015-06-06
Cal States 2015,Club - Men,74131,Oaks,10,Frisbee Football All Stars,11,2015-06-06
Cal States 2015,Club - Men,74132,Oaks,6,Renegade,13,2015-06-06
Cal States 2015,Club - Men,74133,Boost FC,13,Journeymen,2,2015-06-06
Cal States 2015,Club - Men,74134,Gridlock,12,Frisbee Football All Stars,11,2015-06-06
Cal States 2015,Club - Men,74135,Sons,8,Renegade,13,2015-06-06
Cal States 2015,Club - Men,74136,Boost FC,13,Gridlock,6,2015-06-06
Cal States 2015,Club - Men,74137,Sons,12,Gridlock,8,2015-06-06
Cal States 2015,Club - Men,74138,Boost FC,13,Frisbee Football All Stars,6,2015-06-06
Cal States 2015,Club - Men,74139,Journeymen,12,Oaks,8,2015-06-06
Cal States 2015,Club - Men,74286,Renegade,13,Frisbee Football All Stars,3,2015-06-07
Cal States 2015,Club - Men,74287,Boost FC,13,Oaks,5,2015-06-07
Cal States 2015,Club - Men,74288,Journeymen,10,Gridlock,11,2015-06-07
Cal States 2015,Club - Men,74289,Sons,13,Frisbee Football All Stars,6,2015-06-07
Cal States 2015,Club - Men,74290,Boost FC,13,Renegade,10,2015-06-07
Cal States 2015,Club - Men,74291,Journeymen,5,Sons,13,2015-06-07
Cal States 2015,Club - Men,74292,Oaks,12,Gridlock,6,2015-06-07
Cal States 2015,Club - Mixed,74102,Classy,11,Turnip The Beets,6,2015-06-06
Cal States 2015,Club - Mixed,74103,Mischief,13,Classy,3,2015-06-06
Cal States 2015,Club - Mixed,74104,Capitol Punishment,9,Classy,11,2015-06-06
Cal States 2015,Club - Mixed,74105,Mischief,13,Turnip The Beets,5,2015-06-06
Cal States 2015,Club - Mixed,74106,Capitol Punishment,7,Turnip The Beets,9,2015-06-06
Cal States 2015,Club - Mixed,74107,Mischief,13,Capitol Punishment,5,2015-06-06
Cal States 2015,Club - Mixed,74108,Naughty Love,8,Platypi,13,2015-06-06
Cal States 2015,Club - Mixed,74109,Polar Bears,12,Naughty Love,10,2015-06-06
Cal States 2015,Club - Mixed,74110,Polar Bears,10,Platypi,9,2015-06-06
Cal States 2015,Club - Mixed,74111,Alchemy,11,Naughty Love,4,2015-06-06
Cal States 2015,Club - Mixed,74112,Alchemy,5,Platypi,7,2015-06-06
Cal States 2015,Club - Mixed,74113,Polar Bears,12,Alchemy,8,2015-06-06
Cal States 2015,Club - Mixed,74114,DR,11,Family Style,7,2015-06-06
Cal States 2015,Club - Mixed,74115,American Barbecue,10,DR,7,2015-06-06
Cal States 2015,Club - Mixed,74116,American Barbecue,12,Family Style,6,2015-06-06
Cal States 2015,Club - Mixed,74117,BW Ultimate,13,DR,2,2015-06-06
Cal States 2015,Club - Mixed,74118,BW Ultimate,12,Family Style,3,2015-06-06
Cal States 2015,Club - Mixed,74119,American Barbecue,11,BW Ultimate,4,2015-06-06
Cal States 2015,Club - Mixed,74120,Feral Cows Cal States 2015,9,Ursa Major,12,2015-06-06
Cal States 2015,Club - Mixed,74121,Dorado,13,Feral Cows Cal States 2015,1,2015-06-06
Cal States 2015,Club - Mixed,74122,Dorado,13,Ursa Major,4,2015-06-06
Cal States 2015,Club - Mixed,74123,Groove,13,Feral Cows Cal States 2015,3,2015-06-06
Cal States 2015,Club - Mixed,74124,Groove,13,Ursa Major,2,2015-06-06
Cal States 2015,Club - Mixed,74125,Dorado,9,Groove,7,2015-06-06
Cal States 2015,Club - Mixed,74862,Mischief,13,Polar Bears,10,2015-06-07
Cal States 2015,Club - Mixed,74860,Mischief,15,Alchemy,4,2015-06-07
Cal States 2015,Club - Mixed,74861,American Barbecue,8,Polar Bears,11,2015-06-07
Cal States 2015,Club - Mixed,74863,Mischief,13,Platypi,9,2015-06-07
Cal States 2015,Club - Mixed,74864,Dorado,5,Alchemy,10,2015-06-07
Cal States 2015,Club - Mixed,74865,American Barbecue,13,Groove,9,2015-06-07
Cal States 2015,Club - Mixed,74866,Polar Bears,12,Classy,6,2015-06-07
Cal States 2015,Club - Mixed,74867,Platypi,11,DR,8,2015-06-07
Cal States 2015,Club - Mixed,74868,BW Ultimate,9,Alchemy,12,2015-06-07
Cal States 2015,Club - Mixed,74869,Turnip The Beets,3,Groove,13,2015-06-07
Cal States 2015,Club - Mixed,74870,Ursa Major,5,Classy,14,2015-06-07
Cal States 2015,Club - Mixed,74872,Polar Bears,F,American Barbecue,F,2015-06-07
Cal States 2015,Club - Mixed,74871,Alchemy,4,American Barbecue,14,2015-06-07
Cal States 2015,Club - Mixed,74875,Dorado,8,Groove,11,2015-06-07
Cal States 2015,Club - Mixed,74876,Platypi,8,Dorado,15,2015-06-07
Cal States 2015,Club - Mixed,74877,Groove,9,Classy,8,2015-06-07
Cal States 2015,Club - Mixed,74878,Platypi,9,Classy,10,2015-06-07
Cal States 2015,Club - Mixed,74881,BW Ultimate,11,Ursa Major,8,2015-06-07
Cal States 2015,Club - Mixed,74879,DR,11,BW Ultimate,12,2015-06-07
Cal States 2015,Club - Mixed,74880,Turnip The Beets,8,Ursa Major,10,2015-06-07
Cal States 2015,Club - Mixed,74882,DR,13,Turnip The Beets,9,2015-06-07
Cal States 2015,Club - Mixed,74885,Capitol Punishment,7,Family Style,9,2015-06-07
Cal States 2015,Club - Mixed,74883,Capitol Punishment,13,Feral Cows Cal States 2015,10,2015-06-07
Cal States 2015,Club - Mixed,74884,Family Style,12,Naughty Love,10,2015-06-07
Cal States 2015,Club - Mixed,74886,Capitol Punishment,6,Naughty Love,9,2015-06-07
Cal States 2015,Club - Mixed,74887,Feral Cows Cal States 2015,4,Naughty Love,15,2015-06-07
