date,rank,team,rating,perc_ratings,wins,losses,w_pct,sos,sos_rank,division,gender,season,is_final,key
9/10/20,1,North Carolina,3.02,86.6,12,1,0.92,0.97,3,College,Women,2020,1,10094
9/10/20,2,Mount Holyoke,2.31,76.1,11,0,1,-0.27,55,College,Women,2020,1,10095
9/10/20,3,Georgia Tech,2.16,73.2,10,1,0.91,0.12,31,College,Women,2020,1,10096
9/10/20,4,Virginia,2.05,70.9,16,2,0.89,-0.05,42,College,Women,2020,1,10097
9/10/20,5,Texas-Dallas,1.92,68.2,14,1,0.93,-0.64,90,College,Women,2020,1,10098
9/10/20,6,Northeastern,1.78,65.1,9,4,0.69,1.21,1,College,Women,2020,1,10099
9/10/20,7,California-San Diego,1.76,64.7,17,5,0.77,0.5,15,College,Women,2020,1,10100
9/10/20,8,Washington,1.75,64.4,10,3,0.77,0.63,6,College,Women,2020,1,10101
9/10/20,9,Ohio State,1.67,62.5,15,5,0.75,0.52,11,College,Women,2020,1,10102
9/10/20,10,Carleton College,1.54,59.5,24,6,0.8,-0.07,44,College,Women,2020,1,10103
9/10/20,11,Tufts,1.53,59.2,9,2,0.82,0.1,33,College,Women,2020,1,10104
9/10/20,12,Ohio,1.52,59.1,12,1,0.92,-0.79,109,College,Women,2020,1,10105
9/10/20,13,Stanford,1.5,58.5,15,6,0.71,0.61,7,College,Women,2020,1,10106
9/10/20,14,Dartmouth,1.42,56.6,6,1,0.86,0.22,26,College,Women,2020,1,10107
9/10/20,15,Kansas,1.42,56.5,13,2,0.87,-0.54,82,College,Women,2020,1,10108
9/10/20,16,New Mexico,1.4,56,7,0,1,-1.09,163,College,Women,2020,1,10109
9/10/20,17,California-Santa Barbara,1.34,54.5,16,7,0.7,0.44,17,College,Women,2020,1,10110
9/10/20,18,UCLA,1.29,53.3,16,8,0.67,0.61,8,College,Women,2020,1,10111
9/10/20,19,Towson,1.19,51,14,1,0.93,-1.36,196,College,Women,2020,1,10112
9/10/20,20,Vermont,1.17,50.3,9,6,0.6,0.93,5,College,Women,2020,1,10113
9/10/20,21,Skidmore,1.16,50,5,1,0.83,0.22,25,College,Women,2020,1,10114
9/10/20,22,West Chester,1.12,49,5,1,0.83,0.15,28,College,Women,2020,1,10115
9/10/20,23,Pittsburgh,1.05,47.4,10,8,0.56,0.93,4,College,Women,2020,1,10116
9/10/20,24,Florida,1.04,47.2,9,3,0.75,0.1,32,College,Women,2020,1,10117
9/10/20,25,Texas A&M,1.03,46.9,12,2,0.86,-0.89,131,College,Women,2020,1,10118
9/10/20,26,Puget Sound,0.97,45.4,11,1,0.92,-1.32,188,College,Women,2020,1,10119
9/10/20,27,Boston University,0.96,45,5,1,0.83,0.01,39,College,Women,2020,1,10120
9/10/20,28,Alabama,0.95,45,16,3,0.84,-0.82,119,College,Women,2020,1,10121
9/10/20,29,James Madison,0.94,44.5,9,3,0.75,-0.11,47,College,Women,2020,1,10122
9/10/20,30,Northwestern,0.86,42.6,12,9,0.57,0.6,9,College,Women,2020,1,10123
9/10/20,31,Western Washington,0.84,42,6,3,0.67,0.38,20,College,Women,2020,1,10124
9/10/20,32,New Hampshire,0.78,40.6,5,2,0.71,0.24,24,College,Women,2020,1,10125
9/10/20,33,Truman State,0.77,40.4,11,3,0.79,-0.73,102,College,Women,2020,1,10126
9/10/20,34,George Washington,0.75,39.9,11,3,0.79,-0.54,83,College,Women,2020,1,10127
9/10/20,35,Kennesaw State,0.69,38.6,11,3,0.79,-0.62,88,College,Women,2020,1,10128
9/10/20,36,St Olaf,0.64,37.3,8,4,0.67,-0.05,41,College,Women,2020,1,10129
9/10/20,37,Richmond,0.61,36.7,6,1,0.86,-0.96,146,College,Women,2020,1,10130
9/10/20,38,California-Davis,0.56,35.6,8,4,0.67,-0.15,51,College,Women,2020,1,10131
9/10/20,39,Portland,0.55,35.4,8,2,0.8,-0.64,91,College,Women,2020,1,10132
9/10/20,40,Lehigh,0.5,34.2,7,1,0.88,-1.33,190,College,Women,2020,1,10133
9/10/20,41,Colorado State,0.45,33,11,4,0.73,-0.69,97,College,Women,2020,1,10134
9/10/20,42,Brigham Young,0.45,32.9,9,4,0.69,-0.3,57,College,Women,2020,1,10135
9/10/20,43,William & Mary,0.41,32.2,6,5,0.55,0.46,16,College,Women,2020,1,10136
9/10/20,44,South Carolina,0.41,32.2,3,2,0.6,0.52,12,College,Women,2020,1,10137
9/10/20,45,Case Western Reserve,0.3,29.9,8,5,0.62,-0.3,58,College,Women,2020,1,10138
9/10/20,46,Colorado,0.3,29.7,9,7,0.56,0.18,27,College,Women,2020,1,10139
9/10/20,47,Texas State,0.29,29.6,9,4,0.69,-0.54,80,College,Women,2020,1,10140
9/10/20,48,Florida State,0.29,29.5,10,4,0.71,-0.65,93,College,Women,2020,1,10141
9/10/20,49,Liberty,0.24,28.5,12,8,0.6,-0.16,52,College,Women,2020,1,10142
9/10/20,50,Bates,0.22,28.1,7,3,0.7,-0.43,70,College,Women,2020,1,10143
9/10/20,51,Cincinnati,0.21,28,6,1,0.86,-1.32,187,College,Women,2020,1,10144
9/10/20,52,Denver,0.18,27.3,14,4,0.78,-1.33,191,College,Women,2020,1,10145
9/10/20,53,Wisconsin,0.14,26.6,3,3,0.5,0.55,10,College,Women,2020,1,10146
9/10/20,54,Georgia,0.12,26.3,8,10,0.44,0.51,13,College,Women,2020,1,10147
9/10/20,55,Vanderbilt,0.09,25.7,7,5,0.58,-0.13,48,College,Women,2020,1,10148
9/10/20,56,Occidental,0.09,25.7,13,3,0.81,-1.53,217,College,Women,2020,1,10149
9/10/20,57,North Carolina State,0.08,25.5,5,6,0.45,0.51,14,College,Women,2020,1,10150
9/10/20,58,Trinity,0.05,24.9,9,5,0.64,-0.55,84,College,Women,2020,1,10151
9/10/20,59,San Diego State University,0.04,24.7,12,5,0.71,-0.98,149,College,Women,2020,1,10152
9/10/20,60,American,0.04,24.6,5,2,0.71,-0.81,117,College,Women,2020,1,10153
9/10/20,61,Virginia Tech,0.03,24.5,9,4,0.69,-0.75,106,College,Women,2020,1,10154
9/10/20,62,Michigan,0.02,24.2,5,5,0.5,0.29,22,College,Women,2020,1,10155
9/10/20,63,Columbia,0,24,8,5,0.62,-0.46,74,College,Women,2020,1,10156
9/10/20,64,Haverford/Bryn Mawr,-0.04,23.3,9,6,0.6,-0.45,73,College,Women,2020,1,10157
9/10/20,65,Swarthmore,-0.07,22.7,8,4,0.67,-0.7,100,College,Women,2020,1,10158
9/10/20,66,Connecticut,-0.07,22.6,8,5,0.62,-0.4,67,College,Women,2020,1,10159
9/10/20,67,Minnesota,-0.1,22.1,3,3,0.5,0.29,21,College,Women,2020,1,10160
9/10/20,68,Mississippi,-0.14,21.5,5,2,0.71,-0.85,124,College,Women,2020,1,10161
9/10/20,69,Emory,-0.14,21.4,10,5,0.67,-0.86,125,College,Women,2020,1,10162
9/10/20,70,Temple,-0.16,21.2,8,6,0.57,-0.35,64,College,Women,2020,1,10163
9/10/20,71,Texas,-0.19,20.7,7,8,0.47,0.13,29,College,Women,2020,1,10164
9/10/20,72,California-Santa Cruz,-0.21,20.3,11,11,0.5,-0.14,50,College,Women,2020,1,10165
9/10/20,73,Chicago,-0.22,20.1,9,8,0.53,-0.28,56,College,Women,2020,1,10166
9/10/20,74,British Columbia,-0.23,20.1,3,3,0.5,0.06,36,College,Women,2020,1,10167
9/10/20,75,Syracuse,-0.23,20,8,6,0.57,-0.4,66,College,Women,2020,1,10168
9/10/20,76,Cornell,-0.23,19.9,4,2,0.67,-0.84,122,College,Women,2020,1,10169
9/10/20,77,Brandeis,-0.25,19.7,4,3,0.57,-0.34,63,College,Women,2020,1,10170
9/10/20,78,Washington University,-0.28,19.3,7,7,0.5,-0.19,53,College,Women,2020,1,10171
9/10/20,79,Central Florida,-0.28,19.3,8,7,0.53,-0.34,61,College,Women,2020,1,10172
9/10/20,80,Western Washington B,-0.29,19.1,4,1,0.8,-1.54,218,College,Women,2020,1,10173
9/10/20,81,Wesleyan,-0.29,19,4,2,0.67,-0.81,115,College,Women,2020,1,10174
9/10/20,82,Indiana,-0.3,18.8,4,2,0.67,-0.81,116,College,Women,2020,1,10175
9/10/20,83,Pennsylvania,-0.31,18.8,5,6,0.45,0.08,34,College,Women,2020,1,10176
9/10/20,84,Cal State-Long Beach,-0.31,18.7,10,4,0.71,-1.46,207,College,Women,2020,1,10177
9/10/20,85,Purdue,-0.31,18.7,9,5,0.64,-0.89,130,College,Women,2020,1,10178
9/10/20,86,Colby,-0.33,18.5,6,5,0.55,-0.35,65,College,Women,2020,1,10179
9/10/20,87,NYU,-0.33,18.5,9,5,0.64,-0.94,140,College,Women,2020,1,10180
9/10/20,88,Mary Washington,-0.35,18.2,4,2,0.67,-0.88,129,College,Women,2020,1,10181
9/10/20,89,Pacific Lutheran,-0.36,18,5,4,0.56,-0.45,72,College,Women,2020,1,10182
9/10/20,90,Duke,-0.41,17.2,6,5,0.55,-0.49,76,College,Women,2020,1,10183
9/10/20,91,South Florida,-0.47,16.5,7,5,0.58,-0.79,112,College,Women,2020,1,10184
9/10/20,92,SUNY-Geneseo,-0.49,16.1,4,4,0.5,-0.34,60,College,Women,2020,1,10185
9/10/20,93,California,-0.49,16.1,7,14,0.33,0.42,19,College,Women,2020,1,10186
9/10/20,94,Maryland-Baltimore County,-0.53,15.7,15,7,0.68,-1.48,211,College,Women,2020,1,10187
9/10/20,95,Utah,-0.53,15.6,6,8,0.43,-0.09,46,College,Women,2020,1,10188
9/10/20,96,Mississippi State,-0.55,15.4,8,6,0.57,-0.92,136,College,Women,2020,1,10189
9/10/20,97,Boston College,-0.55,15.4,4,4,0.5,-0.43,69,College,Women,2020,1,10190
9/10/20,98,Marist,-0.56,15.2,5,1,0.83,-2.24,252,College,Women,2020,1,10191
9/10/20,99,Colorado College,-0.56,15.2,6,5,0.55,-0.71,101,College,Women,2020,1,10192
9/10/20,100,Dayton,-0.56,15.2,5,2,0.71,-1.59,223,College,Women,2020,1,10193
9/10/20,101,Stanford B,-0.57,15.1,5,2,0.71,-1.46,206,College,Women,2020,1,10194
9/10/20,102,Oberlin,-0.58,14.9,6,6,0.5,-0.42,68,College,Women,2020,1,10195
9/10/20,103,Iowa State,-0.6,14.7,7,6,0.54,-0.74,105,College,Women,2020,1,10196
9/10/20,104,San Diego State University B,-0.62,14.5,2,1,0.67,-1.1,166,College,Women,2020,1,10197
9/10/20,105,Michigan Tech,-0.62,14.4,2,2,0.5,-0.32,59,College,Women,2020,1,10198
9/10/20,106,Cal Poly-SLO,-0.64,14.2,9,13,0.41,-0.13,49,College,Women,2020,1,10199
9/10/20,107,Illinois,-0.66,14,4,2,0.67,-1.43,202,College,Women,2020,1,10200
9/10/20,108,George Mason,-0.69,13.6,7,6,0.54,-0.85,123,College,Women,2020,1,10201
9/10/20,109,Georgetown,-0.7,13.5,6,6,0.5,-0.64,92,College,Women,2020,1,10202
9/10/20,110,Auburn,-0.71,13.3,7,6,0.54,-0.93,138,College,Women,2020,1,10203
9/10/20,111,John Brown,-0.72,13.2,6,7,0.46,-0.51,77,College,Women,2020,1,10204
9/10/20,112,Kentucky,-0.76,12.8,3,3,0.5,-0.69,96,College,Women,2020,1,10205
9/10/20,113,California-San Diego B,-0.79,12.4,9,7,0.56,-1.08,159,College,Women,2020,1,10206
9/10/20,114,Northeastern B,-0.8,12.3,5,3,0.62,-1.32,189,College,Women,2020,1,10207
9/10/20,115,Rice,-0.81,12.3,7,6,0.54,-0.94,141,College,Women,2020,1,10208
9/10/20,116,Oregon State,-0.82,12.2,5,3,0.62,-1.44,203,College,Women,2020,1,10209
