team_id,team,gender,division,city,state,region,section
39,U54 Ultimate,Mixed,Club,Chicago,IL,Great Lakes,Central Plains
40,'Shine,Mixed,Club,Nashville,TN,Southeast,East Coast
41,Mesteño,Mixed,Club,Denver,CO,South Central,Rocky Mountain
42,Bunnies,Mixed,Club,Saskatoon,SK,Northwest,Big Sky
43,Vendetta,Mixed,Club,Denver,CO,South Central,Rocky Mountain
44,Blowing Heat 3.0,Mixed,Club,New Castle,DE,Mid-Atlantic,Founders
45,Fireball,Mixed,Club,Washington,DC,Mid-Atlantic,Capital
46,Surge,Mixed,Club,Spokane,WA,Northwest,Washington/BC
47,PS,Mixed,Club,Allentown,PA,Mid-Atlantic,Founders
48,Springs Mixed Ulty Team,Mixed,Club,Colorado Springs,CO,South Central,Rocky Mountain
49,Too Much Fun,Mixed,Club,Asheville,NC,Southeast,North Carolina
50,T.T,Mixed,Club,Vancouver,Bc,Northwest,Washington/BC
51,Los Heros,Mixed,Club,Bloomington,IN,Great Lakes,Central Plains
52,Townies,Mixed,Club,Ithaca,NY,Northeast,Upstate NY
53,Seven Hills,Mixed,Club,Seattle,WA,Northwest,Washington/BC
54,Fishpix!,Mixed,Club,Missoula,MT,Northwest,Big Sky
55,Left Turn Lane,Mixed,Club,Mercer,NJ,Mid-Atlantic,Founders
56,Zen,Mixed,Club,Toronto,On,Northeast,Upstate NY
57,DTH,Mixed,Club,Waltham,MA,Northeast,East New England
58,Trenton Takers,Mixed,Club,Trenton,NJ,Mid-Atlantic,Founders
59,Eugene Skyfall,Mixed,Club,Eugene,OR,Northwest,Oregon
60,Tlacuaches,Mixed,Club,McAllen,TX,South Central,Texas
61,Bozos,Mixed,Club,Bozeman,MT,Northwest,Big Sky
62,Skyscrapers,Mixed,Club,Brooklyn,NY,,
63,Boomshakalaka,Mixed,Club,Austin,TX,South Central,Texas
64,WhirlyNegs,Mixed,Club,Arlington,VA,Mid-Atlantic,Capital
65,Nottoway Flatball Club,Mixed,Club,Vienna,VA,,
66,Drunk in Space,Mixed,Club,Boston,MA,Northeast,East New England
67,Cleveland Rocks,Mixed,Club,Cleveland,OH,Great Lakes,East Plains
68,Mufanauts,Mixed,Club,Madison,WI,North Central,Northwest Plains
69,Hot Tamales,Mixed,Club,Bethlehem,PA,Mid-Atlantic,Founders
22565,The Leftovers,Mixed,Club,Atlanta,GA,Southeast,East Coast
22560,Wasatch Sasquatch,Mixed,Club,Salt Lake City,UT,Northwest,Big Sky
22558,NWA White Tails,Mixed,Club,Bentonville,AR,South Central,Ozarks
22541,Be Reasonable,Mixed,Club,Fayetteville,AR,South Central,Ozarks
22519,Midnight Whiskey,Mixed,Club,Eugene,OR,Northwest,Oregon
22510,Fable,Mixed,Club,Vancouver,BC,Northwest,Washington/BC
22507,Mola Mola,Mixed,Club,Vancouver,British Columbia,Northwest,Washington/BC
22506,Chowdaheads,Mixed,Club,Providence,RI,Northeast,
22500,Mishigami,Mixed,Club,Lansing,MI,Great Lakes,East Plains
22490,MUTT,Mixed,Club,St. Paul,MN,North Central,Northwest Plains
22489,Discney,Mixed,Club,Beaumont,TX,South Central,Texas
22486,Bulleit Train,Mixed,Club,Seattle,WA,Northwest,Washington/BC
22485,Friendzone,Mixed,Club,Seattle,WA,Northwest,Washington/BC
22484,The Los Gatos Gatos,Mixed,Club,San Jose,CA,Southwest,NorCal
22478,I-79,Mixed,Club,Pittsburgh,PA,Mid-Atlantic,Founders
22460,MN Superior,Mixed,Club,Twin Cities,MN,,
22451,Sparkle Ponies,Mixed,Club,Rockville,MD,Mid-Atlantic,Capital
22450,Cool Whip,Mixed,Club,Boston,MA,Northeast,East New England
22449,Fleet,Mixed,Club,Baltimore,MD,Mid-Atlantic,Capital
22447,Mutiny,Mixed,Club,St. Petersburg,FL,Southeast,Florida
22446,Farm Show,Mixed,Club,Harrisburg,PA,Mid-Atlantic,Founders
22445,Eat Lightning,Mixed,Club,New York City,NY,Northeast,Metro NY
22443,Long Beach Legacy,Mixed,Club,Long Beach,CA,Southwest,So Cal
22442,Dinosaur Fancy,Mixed,Club,Madison,WI,North Central,Northwest Plains
22434,WHUF*,Mixed,Club,Woods Hole,MA,Northeast,West New England
22432,Rogue,Mixed,Club,Tucson,AZ,Southwest,So Cal
22429,DR,Mixed,Club,Berkeley,CA,Southwest,NorCal
22424,Bucket,Mixed,Club,Atlanta,GA,Southeast,East Coast
22420,Liquid Hustle,Mixed,Club,Indianapolis,IN,Great Lakes,Central Plains
22419,Blackbird,Mixed,Club,San Francisco,CA,Southwest,NorCal
22416,Rocket LawnChair,Mixed,Club,Ann Arbor,MI,Great Lakes,East Plains
22404,BFG,Mixed,Club,Seattle,WA,Northwest,Washington/BC
22402,Indiana Pterodactyl Attack (IPA),Mixed,Club,Clarksville,IN,Great Lakes,Central Plains
22401,Goose Lee,Mixed,Club,Cincinnati,OH,Great Lakes,East Plains
22397,FIRE ULTIMATE CLUB MIAMI,Mixed,Club,Miami,FL,Southeast,Florida
22395,Moonshine,Mixed,Club,Lexington,KY,Great Lakes,East Plains
22394,Hybrid,Mixed,Club,Ann Arbor,MI,Great Lakes,East Plains
22381,Natural Twenties,Mixed,Club,Portland,OR,Northwest,Oregon
22380,Classy,Mixed,Club,San Francisco,CA,Southwest,NorCal
22378,HAOS,Mixed,Club,Watertown,MA,Northeast,East New England
22376,Happy Valley,Mixed,Club,Amherst,MA,Northeast,West New England
22373,Pixel,Mixed,Club,Royal Oak,MI,Great Lakes,East Plains
22372,Toast,Mixed,Club,Grand Rapids,MI,Great Lakes,East Plains
22370,Shakedown,Mixed,Club,Chicago,IL,Great Lakes,Central Plains
22369,Sweet Action,Mixed,Club,Denver,CO,South Central,Rocky Mountain
22364,Bird,Mixed,Club,Minneapolis,MN,North Central,Northwest Plains
22357,Family Style,Mixed,Club,Los Angeles,CA,Southwest,So Cal
22352,Ope!,Mixed,Club,Minneapolis,MN,North Central,Northwest Plains
22347,SkyLab,Mixed,Club,Portland,OR,Northwest,Oregon
22344,Pretty Boys and Handsome Girls,Mixed,Club,Winnipeg,Manitoba,,
22342,Tequila Mockingbird,Mixed,Club,Chicago,IL,Great Lakes,Central Plains
22340,Stackcats,Mixed,Club,Chicago,IL,Great Lakes,Central Plains
22337,Happy Hour,Mixed,Club,McMinnville,OR,Northwest,Oregon
22334,Superlame,Mixed,Club,Asheville,NC,Southeast,North Carolina
22331,sKNO cone,Mixed,Club,Knoxville,TN,Southeast,East Coast
22330,Dead Reckoning,Mixed,Club,Portland,ME,Northeast,East New England
22329,Pivot,Mixed,Club,Phoenix,AZ,Southwest,So Cal
22328,Pink pear 2019,Mixed,Club,New York,NY,Northeast,Metro NY
22323,Swing Vote,Mixed,Club,Washington,DC,,
22322,The Chad Larson Experience,Mixed,Club,Ames,IA,North Central,West Plains
22321,Magic City Mayhem,Mixed,Club,Birmingham,AL,Southeast,Gulf Coast
22315,Wild Card,Mixed,Club,Boston,MA,Northeast,East New England
22309,Philly Twist,Mixed,Club,Philadelphia,PA,Mid-Atlantic,Founders
22308,Sad Mountain,Mixed,Club,Greenfield,MA,Northeast,West New England
22298,Delta Breeze,Mixed,Club,Davis,CA,Southwest,NorCal
22291,Identity Theft,Mixed,Club,Minneapolis,MN,North Central,Northwest Plains
22284,Mashed,Mixed,Club,Syracuse,NY,Northeast,Upstate NY
22283,Fear and Loathing,Mixed,Club,Las Vegas,NV,Southwest,So Cal
22281,Tropics Ultimate,Mixed,Club,Oneonta,NY,Northeast,Upstate NY
22280,Choco Ghost House,Mixed,Club,Portland,OR,Northwest,Oregon
22279,7 Sins,Mixed,Club,Kansas City,KS,North Central,West Plains
22276,Side Hustle,Mixed,Club,Burlington,VT,Northeast,West New England
22271,Nautilus,Mixed,Club,Newington,CT,Northeast,Metro NY
22268,Platypi,Mixed,Club,Chico,CA,Southwest,NorCal
22261,Hive,Mixed,Club,Portland,OR,Northwest,Oregon
