team_id,team,gender,division,city,state,region,section
70,V-SQUAD,Women,Club,Montreal,Quebec,Northeast,West New England
71,2nd Wave,Women,Club,Bay Area,CA,Southwest,NorCal
72,Austin Hex,Women,Club,Austin,TX,South Central,Texas
73,COSMOS,Women,Club,Colorado Springs,CO,South Central,Rocky Mountain
22437,Honey Pot,Women,Club,Chattanooga,TN,Southeast,East Coast
22427,Wildfire,Women,Club,San Diego,CA,Southwest,So Cal
22363,Helix,Women,Club,Chicago,IL,Great Lakes,Central Plains
22358,Rampage,Women,Club,Los Angeles,CA,Southwest,So Cal
22356,Fusion,Women,Club,Winnipeg,Manitoba,North Central,Northwest Plains
22354,Superior,Women,Club,Minneapolis,MN,North Central,
22327,Venom,Women,Club,Tucson,AZ,Southwest,So Cal
22320,Portland Ivy,Women,Club,Portland,OR,Northwest,Oregon
22316,Sizzle,Women,Club,Seattle,WA,Northwest,Washington/BC
22310,Seattle Soul,Women,Club,Seattle,WA,Northwest,Washington/BC
22303,Valley Ultimate U20 Girls,Women,Club,Amherst,MA,Northeast,West New England
22300,Nightlock,Women,Club,Bay Area,CA,Southwest,NorCal
22292,BUDA U20G,Women,Club,Boston,MA,Northeast,West New England
22274,Trash.,Women,Club,Portland,OR,Northwest,Oregon
22273,Jackwagon,Women,Club,Boulder/Denver,CO,South Central,Rocky Mountain
22263,Belle,Women,Club,Cincinnati,OH,,
22256,Frolic,Women,Club,Portland,ME,Northeast,East New England
22253,Phoenix,Women,Club,Raleigh,NC,Southeast,North Carolina
22243,Ultraviolet,Women,Club,Bay Area,CA,Southwest,NorCal
22242,Molly Brown,Women,Club,Denver/Boulder,CO,South Central,Rocky Mountain
22241,Viva,Women,Club,Los Angeles,CA,Southwest,So Cal
22198,Colorado Small Batch,Women,Club,Denver,CO,South Central,Rocky Mountain
22186,Korra,Women,Club,Regina,Saskatchewan,Northwest,Big Sky
22185,Seattle Riot,Women,Club,Seattle,WA,Northwest,Washington/BC
22177,Elevate,Women,Club,Salt Lake City,UT,Northwest,Big Sky
22171,Salty,Women,Club,Halifax,Nova Scotia,Northeast,East New England
22168,Showdown,Women,Club,Texas City,TX,South Central,Texas
22165,Maeve,Women,Club,Dallas,TX,South Central,Texas
22156,LOL,Women,Club,Oakland,CA,Southwest,NorCal
22153,Crush City,Women,Club,Houston,TX,South Central,Texas
22152,Outbreak,Women,Club,Atlanta,GA,Southeast,East Coast
22118,PLOW,Women,Club,Northampton,MA,Northeast,West New England
22113,Queen Cake,Women,Club,New Orleans,LA,Southeast,Gulf Coast
22112,Taco Truck,Women,Club,Triangle,NC,Southeast,North Carolina
22101,Versa,Women,Club,Watertown,MA,Northeast,East New England
22081,Pickup Lines,Women,Club,"Washington, DC",MD,Mid-Atlantic,Capital
22079,Vintage,Women,Club,Montreal,Quebec,Northeast,West New England
22077,Tabby Rosa,Women,Club,Gainesville,FL,Southeast,Florida
22075,BENT,Women,Club,New York,NY,Northeast,Metro NY
22074,TOX6ix,Women,Club,Toronto,Ontario,Northeast,Upstate NY
22070,Venus,Women,Club,Montreal,Quebec,Northeast,West New England
22066,Stella,Women,Club,Ottawa,Ontario,Northeast,Upstate NY
22065,PPF,Women,Club,Kitchener-Waterloo,Ontario,Northeast,Upstate NY
22064,Brute Squad,Women,Club,Boston,MA,Northeast,East New England
22063,6ixers,Women,Club,Toronto,Ontario,Northeast,Upstate NY
22047,Rebel Rebel,Women,Club,Albany,NY,Northeast,Upstate NY
22045,Hot Metal,Women,Club,Pittsburgh,PA,Mid-Atlantic,Founders
22041,Sneaky House Hippos,Women,Club,Vancouver,British Columbia,Northwest,Washington/BC
22034,Ozone,Women,Club,Atlanta,GA,Southeast,East Coast
22030,Sureshot,Women,Club,Cincinnati,OH,Great Lakes,East Plains
22029,Rival,Women,Club,Columbus/Ann Arbor,OH,Great Lakes,East Plains
22026,Cazadora,Women,Club,Austin,TX,South Central,Texas
22024,Trainwreck,Women,Club,Fort Collins,CO,South Central,Rocky Mountain
22010,Pine Baroness,Women,Club,Princeton,NJ,Mid-Atlantic,Founders
21917,Vice,Women,Club,Cambridge,MA,Northeast,East New England
21898,cATLanta,Women,Club,Atlanta,GA,Southeast,East Coast
21883,Siege,Women,Club,Boston,MA,Northeast,East New England
21875,Throwback,Women,Club,Edmonton,Alberta,Northwest,
21868,Tempest,Women,Club,St. John's,NL,Northeast,East New England
21855,Oligarchy,Women,Club,Newport News,VA,Mid-Atlantic,
21846,Rush Hour,Women,Club,Oceanside,NY,Northeast,Metro NY
21841,Huntsville Laika,Women,Club,Huntsville,AL,Southeast,Gulf Coast
21822,HOPE,Women,Club,Providence,RI,Northeast,East New England
21788,Indy Rogue,Women,Club,Indianapolis,IN,Great Lakes,Central Plains
21785,Inferno,Women,Club,Houston,TX,South Central,Texas
21761,Iris,Women,Club,Québec,Quebec,Northeast,West New England
21674,Scandal,Women,Club,Washington,DC,Mid-Atlantic,Capital
21673,Agency,Women,Club,Washington,DC,Mid-Atlantic,Capital
21658,Traffic,Women,Club,Vancouver,BC,Northwest,Washington/BC
21632,Eliza Furnace,Women,Club,Pittsburgh,PA,Mid-Atlantic,Founders
21601,Frenzy,Women,Club,Chicago,IL,Great Lakes,Central Plains
21582,DC Rogue,Women,Club,Washington,DC,,
21556,Schwa,Women,Club,Portland,OR,Northwest,Oregon
21555,Cold Cuts,Women,Club,Minneapolis,MN,North Central,Northwest Plains
21501,Warhawks,Women,Club,Triangle Area,NC,,
21485,PDXtra,Women,Club,Portland,OR,Northwest,Oregon
21439,Stellar,Women,Club,St. Louis,MO,North Central,West Plains
21356,Iowa Wild Rose,Women,Club,Ames,IA,North Central,West Plains
21353,Notorious C.L.E.,Women,Club,Cleveland,OH,Great Lakes,East Plains
21257,Suffrage,Women,Club,Washington,DC,Mid-Atlantic,Capital
21249,Autonomous,Women,Club,Ann Arbor/Detroit,MI,Great Lakes,East Plains
21165,Wicked,Women,Club,Kansas City,KS,North Central,West Plains
21157,Lady Forward,Women,Club,Madison,WI,North Central,Northwest Plains
21155,Fiasco,Women,Club,Fort Lauderdale,FL,Southeast,Florida
21090,MystiKuE,Women,Club,Milwaukee,WI,North Central,Northwest Plains
21004,Crackle,Women,Club,Minneapolis,MN,North Central,Northwest Plains
20996,Boston,Women,Club,Boston,MA,Northeast,East New England
20970,Fury,Women,Club,San Francisco,CA,Southwest,NorCal
20966,Tempo,Women,Club,Bay Area,CA,Southwest,NorCal
20855,The Matriarchy,Women,Club,St.Paul,MN,North Central,Northwest Plains
20850,DINO,Women,Club,New York,NY,Northeast,Metro NY
20833,Koi,Women,Club,Vancouver,British Columbia,Northwest,Washington/BC
20805,Broad City,Women,Club,Philadelphia,PA,Mid-Atlantic,Founders
