team,team_name,division,gender,competition,region,conference,id
SUNY-Stony Brook,Panic,College,Men,Division I,Metro East,Metro NY DI,809
SUNY-Stony Brook,Panic,College,Men,Developmental,Metro East,Metro East Dev,810
Wisconsin,Bella Donna,College,Women,Division I,North Central,Lake Superior DI,1270
Wisconsin,Bella Donna,College,Women,Developmental,North Central,Lake Superior DI,1271
Massachusetts,Zoodisc,College,Men,Division I,New England,Greater New England DI,664
Utah,Zion Curtain,College,Men,Division I,Northwest,Big Sky DI,665
Texas-Arlington,Yucca,College,Men,Division I,South Central,North Texas DI,666
Alabama B,Yellow Hammer,College,Men,Developmental,Southeast,Southeast Dev,667
Alabama,Yellow Hammer,College,Men,Division I,Southeast,Gulf Coast DI,668
Virginia Commonwealth University B,Yeastie Boyz,College,Men,Developmental,Atlantic Coast,Virginia Dev,669
Iowa State B,Yeastie Boys,College,Men,Developmental,North Central,North Central Dev,670
Western Washington B,WWU MUD,College,Men,Developmental,Northwest,Cascadia DI,671
West Virginia,WV Wild,College,Men,Division I,Ohio Valley,West Penn DI,672
Williams,WUFO,College,Men,Division III,New England,South New England DIII,673
Texas-Dallas,Woof,College,Men,Division I,South Central,North Texas DI,674
MIT B,Woodmunchers,College,Men,Developmental,New England,Metro Boston Dev,675
Kansas State,Wizards,College,Men,Division I,South Central,Ozarks DI,676
Central Washington,Wind Machin,College,Men,Division I,Northwest,Cascadia DI,677
Whitman,Whitman Sweets,College,Men,Division I,Northwest,Northwest DIII,678
West Chester,West Chester A,College,Men,Division I,Ohio Valley,East Penn DI,679
Wake Forest,"Well Oiled Machine, Baby",College,Men,Division I,Atlantic Coast,Carolina DI,680
Washington C,Washington C,College,Men,Developmental,Northwest,Cascadia DI,681
Washington B,Washington B,College,Men,Division I,Northwest,Cascadia DI,682
Colorado College,Wasabi,College,Men,Division III,South Central,Rocky Mountain DIII,683
Pennsylvania,Void,College,Men,Division I,Ohio Valley,East Penn DI,684
Portland State,Vitruvious,College,Men,Division I,Northwest,Cascadia DI,685
Virginia B,Virginia-B,College,Men,Developmental,Atlantic Coast,Southern Atlantic Coast Dev,686
Victoria,Vikes,College,Men,Division I,Northwest,Cascadia DI,687
Texas-San Antonio,Velox,College,Men,Division I,South Central,South Texas DI,688
Utah Valley University,Utah Valley Ultimate,College,Men,Division I,Northwest,Big Sky DI,689
Utah State,USULT,College,Men,Division I,Northwest,Big Sky DI,690
Southern California,USC Lockdown,College,Men,Division I,Southwest,SoCal DI,691
Southern California B,USC Blockdown,College,Men,Developmental,Southwest,Southwest Dev,692
Columbia,Uptown Local,College,Men,Division I,Metro East,Metro NY DI,693
Portland,Uprise,College,Men,Division III,Northwest,Northwest DIII,694
North Texas,UNT,College,Men,Division I,South Central,North Texas DI,695
Nebraska-Omaha,UNO,College,Men,Division I,North Central,West Plains DI,696
Pittsburgh B,University of Pittsburgh- B,College,Men,Developmental,Ohio Valley,Ohio Valley Dev,697
Union (Tennessee),Union Jaxx,College,Men,Division III,Southeast,Western Southeast DIII,698
Purdue,Undue Ultimate,College,Men,Division I,Great Lakes,East Plains DI,699
Georgia State,Underground,College,Men,Division I,Southeast,Southern Appalachian DI,700
