team_id,team,team_name,division,gender,competition,region,conference
24827,Massachusetts,Zoodisc,College,Men,Division I,New England,Greater New England DI
23654,Utah,Zion Curtain,College,Men,Division I,Northwest,Big Sky DI
24855,Texas-Arlington,Yucca,College,Men,Division I,South Central,North Texas DI
24489,Alabama B,Yellow Hammer,College,Men,Developmental,Southeast,Southeast Dev
24488,Alabama,Yellow Hammer,College,Men,Division I,Southeast,Gulf Coast DI
24601,Virginia Commonwealth University B,Yeastie Boyz,College,Men,Developmental,Atlantic Coast,Virginia Dev
24626,Iowa State B,Yeastie Boys,College,Men,Developmental,North Central,North Central Dev
23253,Western Washington B,WWU MUD,College,Men,Developmental,Northwest,Cascadia DI
24026,West Virginia,WV Wild,College,Men,Division I,Ohio Valley,West Penn DI
23613,Williams,WUFO,College,Men,Division III,New England,South New England DIII
24520,Texas-Dallas,Woof,College,Men,Division I,South Central,North Texas DI
24216,MIT B,Woodmunchers,College,Men,Developmental,New England,Metro Boston Dev
25097,Kansas State,Wizards,College,Men,Division I,South Central,Ozarks DI
24674,Central Washington,Wind Machin,College,Men,Division I,Northwest,Cascadia DI
24251,Whitman,Whitman Sweets,College,Men,Division I,Northwest,Northwest DIII
24968,West Chester,West Chester A,College,Men,Division I,Ohio Valley,East Penn DI
24858,Wake Forest,"Well Oiled Machine, Baby",College,Men,Division I,Atlantic Coast,Carolina DI
24629,Washington C,Washington C,College,Men,Developmental,Northwest,Cascadia DI
24614,Washington B,Washington B,College,Men,Division I,Northwest,Cascadia DI
24169,Colorado College,Wasabi,College,Men,Division III,South Central,Rocky Mountain DIII
23065,Pennsylvania,Void,College,Men,Division I,Ohio Valley,East Penn DI
23674,Portland State,Vitruvious,College,Men,Division I,Northwest,Cascadia DI
25010,Virginia B,Virginia-B,College,Men,Developmental,Atlantic Coast,Southern Atlantic Coast Dev
24008,Victoria,Vikes,College,Men,Division I,Northwest,Cascadia DI
23070,Texas-San Antonio,Velox,College,Men,Division I,South Central,South Texas DI
25249,Utah Valley University,Utah Valley Ultimate,College,Men,Division I,Northwest,Big Sky DI
23238,Utah State,USULT,College,Men,Division I,Northwest,Big Sky DI
24615,Southern California,USC Lockdown,College,Men,Division I,Southwest,SoCal DI
24634,Southern California B,USC Blockdown,College,Men,Developmental,Southwest,Southwest Dev
24382,Columbia,Uptown Local,College,Men,Division I,Metro East,Metro NY DI
23052,Portland,Uprise,College,Men,Division III,Northwest,Northwest DIII
24779,North Texas,UNT,College,Men,Division I,South Central,North Texas DI
24226,Nebraska-Omaha,UNO,College,Men,Division I,North Central,West Plains DI
25016,Pittsburgh B,University of Pittsburgh- B,College,Men,Developmental,Ohio Valley,Ohio Valley Dev
24288,Union (Tennessee),Union Jaxx,College,Men,Division III,Southeast,Western Southeast DIII
23612,Purdue,Undue Ultimate,College,Men,Division I,Great Lakes,East Plains DI
23181,Georgia State,Underground,College,Men,Division I,Southeast,Southern Appalachian DI
23279,North Carolina-Asheville,UNC Asheville Bulldogs,College,Men,Division III,Atlantic Coast,Carolina DIII
24161,Miami,UMiami Vice,College,Men,Division I,Southeast,Florida DI
24278,Oklahoma State,Ultimato,College,Men,Division I,South Central,Ozarks DI
23053,Wisconsin-Oshkosh,UFO,College,Men,Division I,North Central,Lake Superior DI
24636,Connecticut,UConn Huskies,College,Men,Division I,Metro East,Hudson Valley DI
24392,UCLA B,UCLA Smoke,College,Men,Developmental,Southwest,Southwest Dev
24533,Trinity,Turbulence,College,Men,Division III,South Central,Texas DIII
23046,Texas Tech,Tumbleweed,College,Men,Division I,South Central,North Texas DI
24269,Tulane B,Tulane B,College,Men,Developmental,Southeast,Southeast Dev
24886,Tufts B,Tufts B,College,Men,Developmental,New England,Metro Boston Dev
23926,Texas,TUFF,College,Men,Division I,South Central,South Texas DI
24267,Tulane,Tucks,College,Men,Division I,Southeast,Gulf Coast DI
24652,Troy,Troy Red Wave,College,Men,Division I,Southeast,Gulf Coast DI
24301,Ohio,Trout,College,Men,Division I,Ohio Valley,Ohio DI
25144,Brandeis,TRON,College,Men,Division III,New England,Metro Boston DIII
24611,Georgia Tech B,Tribe,College,Men,Developmental,Southeast,Southeast Dev
23878,Georgia Tech,Tribe,College,Men,Division I,Southeast,Southern Appalachian DI
24535,British Columbia,Thunderbirds,College,Men,Division I,Northwest,Cascadia DI
23232,Seattle,Throbot,College,Men,Division III,Northwest,Northwest DIII
24490,Trevecca,Thrashers,College,Men,Division III,Southeast,Western Southeast DIII
25098,Cal State-Fullerton,The Commute,College,Men,Division I,Southwest,SoCal DI
24562,Texas State B,Texas State,College,Men,Division I,South Central,South Texas DI
25247,SUNY-Fredonia,Terrifying Turtles,College,Men,Division III,Metro East,Western NY DIII
24446,Tennessee,Tennessee,College,Men,Division I,Southeast,Southern Appalachian DI
25109,Maryland-Baltimore County B,Tembo,College,Men,Developmental,Atlantic Coast,Colonial Dev
24825,SUNY-Cortland,Team Rocket,College,Men,Division III,Metro East,Western NY DIII
23207,Arizona B,Swashbucklers,College,Men,Developmental,Southwest,Southwest Dev
23139,Cedarville,Swarm,College,Men,Division III,Ohio Valley,Ohio DIII
24306,Tennessee-Chattanooga,Swamp Donkeys,College,Men,Division I,Southeast,Southern Appalachian DI
23170,SUNY-Binghamton B,SUNY-Binghamton B,College,Men,Developmental,Metro East,Metro East Dev
24386,SUNY-Binghamton,SUNY-Binghamton,College,Men,Division I,Metro East,Western NY DI
24478,Washington,Sundodgers,College,Men,Division I,Northwest,Cascadia DI
24702,Arizona,Sunburn,College,Men,Division I,Southwest,Desert DI
23477,North Georgia,Summit,College,Men,Division III,Southeast,Eastern Southeast DIII
23281,Sul Ross State University,Sul Ross Ultimate,College,Men,Division III,South Central,Texas DIII
23261,Wisconsin-Whitewater,Sub*Par,College,Men,Division I,North Central,Lake Superior DI
23213,Baylor,Stonewall A,College,Men,Division I,South Central,North Texas DI
23707,Stevens Tech,Stevens Tech,College,Men,Division III,Metro East,Metro NY DIII
24006,Stetson,Stetson Ultimate,College,Men,Division III,Southeast,Eastern Southeast DIII
24236,Stanford,Stanford Bloodthirsty,College,Men,Division I,Southwest,NorCal DI
24704,American,Stall 11,College,Men,Division I,Atlantic Coast,Colonial DI
24367,Slippery Rock,SRU Lion Pride,College,Men,Division I,Ohio Valley,West Penn DI
23036,Richmond,Spidermonkeys,College,Men,Division III,Atlantic Coast,Northern Atlantic Coast DIII
23174,Penn State,Spank,College,Men,Division I,Ohio Valley,West Penn DI
24656,South Carolina B,South Carolina,College,Men,Developmental,Atlantic Coast,Southern Atlantic Coast Dev
25482,University of Denver B,Sourdough,College,Men,Division I,South Central,Rocky Mountain DI
24658,Denver,Sourdough,College,Men,Division I,South Central,Rocky Mountain DI
25027,Shenandoah,Sound Ultimate,College,Men,Division III,Atlantic Coast,Northern Atlantic Coast DIII
23200,St Mary's (Maryland),SMUT,College,Men,Division III,Atlantic Coast,Northern Atlantic Coast DIII
24457,Montana,Smokejump,College,Men,Division I,Northwest,Big Sky DI
24253,UCLA,Smaug,College,Men,Division I,Southwest,SoCal DI
24224,California-Santa Cruz,Slugs,College,Men,Division I,Southwest,NorCal DI
23948,Cal Poly-SLO,SLOCORE,College,Men,Division I,Southwest,SoCal DI
24627,Cal Poly-SLO B,SLOB,College,Men,Developmental,Southwest,Southwest Dev
23245,Christopher Newport,Skymaul,College,Men,Division III,Atlantic Coast,Northern Atlantic Coast DIII
24822,North Carolina State B,Six Pack,College,Men,Developmental,Atlantic Coast,Southern Atlantic Coast Dev
25283,Delaware B,Sideshow,College,Men,Developmental,Atlantic Coast,Colonial Dev
24711,Delaware,Sideshow,College,Men,Division I,Atlantic Coast,Colonial DI
25032,Loyola Marymount,ShoreBreak,College,Men,Division I,Southwest,SoCal DI
24514,Kenyon,SERF,College,Men,Division III,Ohio Valley,Ohio DIII
23210,North Carolina-Wilmington,Seamen,College,Men,Division I,Atlantic Coast,Carolina DI
24356,South Florida B,Scourge,College,Men,Developmental,Southeast,Southeast Dev
24909,Radford,Scoundrels,College,Men,Division I,Atlantic Coast,Virginia DI
24454,Shippensburg,Scapegoats,College,Men,Division III,Ohio Valley,West Penn DIII
24883,SUNY-Albany B,SCAM,College,Men,Developmental,Metro East,Metro East Dev
24882,SUNY-Albany,SCAM,College,Men,Division I,Metro East,Hudson Valley DI
24340,South Florida,Scallywags,College,Men,Division I,Southeast,Florida DI
24092,Santa Clara,SCAB,College,Men,Division I,Southwest,NorCal DI
24999,Toledo,Savage,College,Men,Division I,Ohio Valley,Ohio DI
25222,Colorado-Colorado Springs,Sauce,College,Men,Division I,South Central,Rocky Mountain DI
24694,Santa Clara B,Santa Clara B,College,Men,Developmental,Southwest,NorCal DI
23173,Northeastern C,Salty C Dogs,College,Men,Developmental,New England,Metro Boston Dev
24318,St John's,Saint John's Ultimate,College,Men,Division III,North Central,Northwoods DIII
24644,Yale,Süperfly,College,Men,Division I,Metro East,Hudson Valley DI
25011,Regent University,RUUF,College,Men,Developmental,Atlantic Coast,Southern Atlantic Coast Dev
23206,Montana State,Rum Runners,College,Men,Division I,Northwest,Big Sky DI
25057,Rowan B,Ruf Riders B,College,Men,Developmental,Metro East,Metro East Dev
24193,Rowan,Ruf Riders,College,Men,Division I,Metro East,Metro NY DI
23581,Massachusetts-Lowell,Riverhawks,College,Men,Division I,New England,Metro Boston DI
23411,Knox,River Rats,College,Men,Division III,Great Lakes,Illinois DIII
23626,Rhode Island,RIUT,College,Men,Division I,New England,Greater New England DI
25153,RIT,RIT Spudheds,College,Men,Division I,Metro East,Western NY DI
23063,Illinois,Rise,College,Men,Division I,Great Lakes,Illinois DI
24377,American B,Revolution,College,Men,Developmental,Atlantic Coast,Colonial Dev
24357,College of New Jersey,Revolution,College,Men,Division III,Metro East,Metro NY DIII
23199,Pacific Lutheran,Reign Men,College,Men,Division III,Northwest,Northwest DIII
24920,Arkansas State,Red Wolf Ultimate,College,Men,Division I,South Central,Ozarks DI
24431,Idaho,Red Scare,College,Men,Division I,Northwest,Big Sky DI
23212,Harvard,Red Line,College,Men,Division I,New England,Metro Boston DI
24972,Marist,Red Fox Ultimate,College,Men,Division III,Metro East,Hudson Valley DIII
24799,Wooster,RamJam,College,Men,Division III,Ohio Valley,Ohio DIII
25012,Jefferson,Ram Riders,College,Men,Division III,Ohio Valley,East Penn DIII
23205,Fresno State,Rabid,College,Men,Division I,Southwest,NorCal DI
25110,Long Beach State University B,Pyramid Scheme B,College,Men,Division I,Southwest,
23083,Cal State-Long Beach,Pyramid Scheme,College,Men,Division I,Southwest,SoCal DI
23147,St. Thomas,Purple Reign,College,Men,Division III,North Central,Northwoods DIII
24453,LSU B,Purple Haze,College,Men,Developmental,Southeast,Southeast Dev
23978,LSU,Purple Haze,College,Men,Division I,Southeast,Gulf Coast DI
23542,Arizona State,Prime,College,Men,Division I,Southwest,Desert DI
24919,Puget Sound,Postmen,College,Men,Division III,Northwest,Northwest DIII
24222,Navy,Poseidon,College,Men,Division III,Atlantic Coast,Northern Atlantic Coast DIII
23633,Pacific Lutheran B,PLU Reign B,College,Men,Division III,Northwest,Northwest DIII
24017,Arizona State C,Pleasure Ultimate,College,Men,Developmental,Southwest,Southwest Dev
24019,Arizona State B,Pleasure,College,Men,Developmental,Southwest,Southwest Dev
23171,Rochester,Piggies,College,Men,Division III,Metro East,Western NY DIII
24432,Tulsa,Party Fowl,College,Men,Division III,South Central,Ozarks DIII
24505,Kennesaw State,Parliament,College,Men,Division I,Southeast,Southern Appalachian DI
24324,Notre Dame,Papal Rage,College,Men,Division I,Great Lakes,East Plains DI
23116,SUNY-Stony Brook,Panic,College,Men,Division I,Metro East,Metro NY DI
