team_id,team,team_name,division,gender,competition,region,conference
25250,Ohio Wesleyan,Yetis,College,Women,Division III,Ohio Valley,Ohio DIII
24797,Charleston,Charleston,College,Women,Division I,Atlantic Coast,Carolina DI
24690,Michigan B,BFLY,College,Women,Developmental,Great Lakes,Eastern Great Lakes DI
24364,Northwestern B,GungHo B,College,Women,Division I,Great Lakes,Illinois DI
23708,Rhode Island,Disky Business,College,Women,Division I,New England,Greater New England DI
23182,Towson B,Hammertime B,College,Women,Developmental,Atlantic Coast,Atlantic Coast Dev
23155,Washington University B,Washington University (Locamotive),College,Women,Developmental,South Central,Ozarks DI
23143,Minnesota,Ninjas,College,Women,Division I,North Central,Western North Central DI
23088,Jacksonville State,Fuego,College,Women,,Southeast,Gulf Coast DI
23069,Arizona B,Sirens,College,Women,Developmental,Southwest,Southwest Dev
25158,RIT,Yams,College,Women,Division I,Metro East,Western NY DI
24836,Purdue,Xpress,College,Women,Division I,Great Lakes,Eastern Great Lakes DI
25030,Georgia Tech B,Wreck B,College,Women,Developmental,Southeast,Southern Appalachian DI
24004,Georgia Tech,Wreck,College,Women,Division I,Southeast,Southern Appalachian DI
24754,Texas Christian,Wrath,College,Women,Division I,South Central,Texas DI
24289,Occidental,Women's Air Corps (WAC),College,Women,Division III,Southwest,SoCal DI
23159,Notre Dame,Womb,College,Women,Division I,Great Lakes,Eastern Great Lakes DI
24120,Iowa State,Woman Scorned,College,Women,Division I,North Central,Western North Central DI
23645,Cornell,Wild Roses,College,Women,Division I,Metro East,Western NY DI
24651,Whitman,Whitman Sweets,College,Women,Division I,Northwest,Big Sky DI
23998,Texas-Dallas,Whiplash,College,Women,Division I,South Central,Texas DI
23785,West Chester,West Chester,College,Women,Division I,Ohio Valley,Pennsylvania DI
24374,Swarthmore,Warmothers,College,Women,Division III,Ohio Valley,Pennsylvania DIII
23247,Vanderbilt,VUDU,College,Women,Division I,Southeast,Gulf Coast DI
23909,St Olaf,Vortex,College,Women,Division III,North Central,North Central DIII
24730,Georgia State,Vixen,College,Women,Division I,Southeast,Southern Appalachian DI
23538,Virginia B,Virginia,College,Women,Developmental,Atlantic Coast,Atlantic Coast Dev
24832,Wesleyan,Vicious Circles,College,Women,Division III,Metro East,Eastern Metro East DIII
23204,Vermont B,Vermont B,College,Women,Developmental,New England,New England Dev
23632,Pennsylvania,Venus,College,Women,Division I,Ohio Valley,Pennsylvania DI
23617,Virginia Commonwealth,Vendetta,College,Women,Division I,Atlantic Coast,Virginia DI
24523,Northeastern,Valkyries A,College,Women,Division I,New England,Metro Boston DI
24524,Northeastern B,Valkyries,College,Women,Developmental,New England,New England Dev
23895,Victoria,UVixens,College,Women,Division I,Northwest,Cascadia DI
24079,Belmont,URSA,College,Women,Division III,Southeast,Southeast DIII
23947,Portland,UPRoar,College,Women,Division III,Northwest,Northwest DIII
24952,Boston University,Uprising,College,Women,Division I,New England,Metro Boston DI
23802,California-San Diego,UCSD D-Co Womxn's Ultimate,College,Women,Division I,Southwest,SoCal DI
24790,Connecticut,UConn Rise,College,Women,Division I,Metro East,Eastern Metro East DI
23051,UCLA B,UCLA Midas,College,Women,Developmental,Southwest,Southwest Dev
24257,California-San Diego B,UC San Diego Berserk Coalition,College,Women,Developmental,Southwest,Southwest Dev
23097,California-Davis B,UC Davis -B,College,Women,Developmental,Southwest,Southwest Dev
23138,Emory B,Tuna,College,Women,Developmental,Southeast,Southern Appalachian DI
24648,Truman State,TSUnami Women's Ultimate,College,Women,Division III,South Central,South Central DIII
23242,Texas State,Trainwreck,College,Women,Division I,South Central,Texas DI
24370,Cincinnati,Toxic,College,Women,Division I,Ohio Valley,Ohio DI
23584,Rice,Torque,College,Women,Division III,South Central,South Central DIII
23345,Clemson,Tiger Lilies,College,Women,Division I,Atlantic Coast,Carolina DI
24807,British Columbia,Thunderbirds,College,Women,Division I,Northwest,Cascadia DI
23232,Seattle,Throbot,College,Women,Division III,Northwest,Northwest DIII
24666,SUNY-Buffalo,The Lorax,College,Women,Division I,Metro East,Western NY DI
24803,Missouri,Terror Mizzou,College,Women,Division I,South Central,Ozarks DI
23179,Alabama-Huntsville,Terror,College,Women,Division I,Southeast,Gulf Coast DI
24911,Temple,T.U.F Broads,College,Women,Division I,Ohio Valley,Pennsylvania DI
24912,Temple B,T.U.B,College,Women,Division I,Ohio Valley,Pennsylvania DI
23875,Carleton College,Syzygy,College,Women,Division I,North Central,Western North Central DI
23875,Carleton College,Syzygy,College,Women,Division III,North Central,North Central DIII
23664,Duke,Swerve,College,Women,Division I,Atlantic Coast,Carolina DI
24974,Chicago,Supersnatch,College,Women,,Great Lakes,Illinois DI
24805,SUNY Cortland,SUNY Cortland,College,Women,Division III,Metro East,Western NY DIII
24485,Kennesaw State,Strix,College,Women,Division I,Southeast,Southern Appalachian DI
23189,Stanford,Stanford (Superfly),College,Women,Division I,Southwest,NorCal DI
