event,division,season,id
USA Ultimate National Championships,Club,2014,0
North Central Mens Regionals,Club,2014,1
Southwest Men's Regionals,Club,2014,2
Great Lakes Men's Regionals,Club,2014,3
Northwest Mens Regionals,Club,2014,4
Northeast Mens Regionals,Club,2014,5
Southeast Men's Regionals,Club,2014,6
South Central Club Regionals,Club,2014,7
Mid-Atlantic Men's Regionals,Club,2014,8
North Central Mixed Regionals,Club,2014,9
Southwest Mixed Regionals,Club,2014,10
Great Lakes Mixed Regionals,Club,2014,11
Northwest Mixed Regionals,Club,2014,12
Northeast Mixed Regionals,Club,2014,13
Southeast Mixed Regionals,Club,2014,14
Mid-Atlantic Mixed Regionals,Club,2014,15
North Central Womens Regionals,Club,2014,16
Southwest Women's Regionals,Club,2014,17
Great Lakes Women's Regionals,Club,2014,18
Northwest Women's Regionals,Club,2014,19
Northeast Womens Regionals,Club,2014,20
Southeast Women's Regionals,Club,2014,21
Mid-Atlantic Women's Regionals,Club,2014,22
Central Plains Mens Sectionals,Club,2014,23
East Plains Mens Sectionals,Club,2014,24
Capital Mens Sectionals,Club,2014,25
Founders Mens Sectionals,Club,2014,26
Northwest Plains Men Sectionals,Club,2014,27
West Plains Mens Sectionals,Club,2014,28
East New England Mens Sectionals,Club,2014,29
Metro New York Mens Sectionals,Club,2014,30
Upstate New York Mens Sectionals,Club,2014,31
West New England Mens Sectionals,Club,2014,32
Big Sky Mens Sectionals,Club,2014,33
Oregon Mens Sectionals,Club,2014,34
Washington Mens Sectionals,Club,2014,35
Ozarks Club Sectionals (Men),Club,2014,36
Rocky Mountain Club Sectionals,Club,2014,37
Texas Club Sectionals,Club,2014,38
East Coast Mens Sectionals,Club,2014,39
Florida Mens Sectionals,Club,2014,40
Gulf Coast Mens Sectionals,Club,2014,41
North Carolina Mens Sectionals,Club,2014,42
Nor Cal Mens Sectionals,Club,2014,43
So Cal Mens Sectionals,Club,2014,44
Central Plains Mixed Sectionals,Club,2014,45
East Plains Mixed Sectionals,Club,2014,46
Capital Mixed Sectionals,Club,2014,47
Founders Mixed Sectionals,Club,2014,48
Northwest Plains Mixed Sectionals,Club,2014,49
West Plains Mixed Sectionals,Club,2014,50
East New England Mixed Sectionals,Club,2014,51
Metro New York Mixed Sectionals,Club,2014,52
Upstate New York Mixed Sectionals,Club,2014,53
West New England Mixed Sectionals,Club,2014,54
Big Sky Mixed Sectionals,Club,2014,55
Oregon Mixed Sectionals,Club,2014,56
Washington Mixed Sectionals,Club,2014,57
"Ozarks Club Sectionals (Mixed, Women)",Club,2014,58
East Coast Mixed Sectionals,Club,2014,59
Florida Mixed Sectionals,Club,2014,60
Gulf Coast Mixed Sectionals,Club,2014,61
North Carolina Mixed Sectionals,Club,2014,62
Nor Cal Mixed Sectionals,Club,2014,63
So Cal Mixed Sectionals,Club,2014,64
Central Plains Womens Sectionals,Club,2014,65
East Plains Womens Sectionals,Club,2014,66
Capital Womens Sectionals,Club,2014,67
Founders Womens Sectionals,Club,2014,68
Northwest Plains Womens Sectionals,Club,2014,69
West Plains Womens Sectionals,Club,2014,70
East New England Womens Sectionals,Club,2014,71
Metro New York Womens Sectionals,Club,2014,72
Upstate New York Womens Sectionals,Club,2014,73
West New England Womens Sectionals,Club,2014,74
Big Sky Womens Sectionals,Club,2014,75
Oregon Womens Sectionals,Club,2014,76
Washington Womens Sectionals,Club,2014,77
East Coast Womens Sectionals,Club,2014,78
Florida Womens Sectionals,Club,2014,79
Nor Cal Womens Sectionals,Club,2014,80
So Cal Womens Sectionals,Club,2014,81
US Open Ultimate Championships,Club,2014,82
Chesapeake Invite (TCT Pro-Elite Challenge),Club,2014,83
Colorado Cup (TCT Elite-Select Challenge),Club,2014,84
Emerald City Classic (TCT Pro Finale),Club,2014,85
ATL Classic,Club,2014,86
Huckfest,Club,2014,87
San Diego Slammer,Club,2014,88
Kentucky Flying Circus Presents: The Three Ring Rally,Club,2014,89
Cooler Classic,Club,2014,90
Ski Town Classic,Club,2014,91
NY Mixed Invite (TCT Pro-Elite Challenge),Club,2014,92
Fort Collins Summer Solstice,Club,2014,93
St. Louis Heat Wave,Club,2014,94
Philly Invite 2014,Club,2014,95
HoDown XVIII,Club,2014,96
Chowdafest,Club,2014,97
SD Slammer Women's Division,Club,2014,98
USA Ultimate National Championships,Club,2015,99
Great Lakes Men's Regionals,Club,2015,100
Mid-Atlantic Men's Regionals,Club,2015,101
North Central Men's Regionals,Club,2015,102
Northeast Men's Regionals,Club,2015,103
Northwest Men's Regionals,Club,2015,104
South Central Men's Regionals,Club,2015,105
Southeast Men's Regionals,Club,2015,106
Southwest Men's Regionals,Club,2015,107
Great Lakes Mixed Regionals,Club,2015,108
Mid-Atlantic Mixed Regionals,Club,2015,109
North Central Mixed Regionals,Club,2015,110
Northeast Mixed Regionals,Club,2015,111
